episode,avg_reward
0,-465.5
1,-582.75
2,-552.3333333333334
3,-547.625
4,-511.2
5,-525.0833333333334
6,-533.7857142857143
7,-528.5625
8,-535.3333333333334
9,-528.95
10,-536.4545454545455
11,-552.5
12,-555.9615384615385
13,-549.8214285714286
14,-544.1333333333333
15,-531.5
16,-532.4411764705883
17,-534.0555555555555
18,-532.2105263157895
19,-528.65
20,-534.2857142857143
21,-534.0454545454545
22,-532.3478260869565
23,-527.6666666666666
24,-527.8
25,-522.7692307692307
26,-519.925925925926
27,-523.5714285714286
28,-520.6034482758621
29,-517.25
30,-514.2096774193549
31,-517.671875
32,-518.6666666666666
33,-518.4558823529412
34,-512.4857142857143
35,-514.6944444444445
36,-516.8108108108108
37,-513.8157894736842
38,-512.6410256410256
39,-510.55
40,-508.2560975609756
41,-507.14285714285717
42,-506.6162790697674
43,-507.6136363636364
44,-506.26666666666665
45,-506.1304347826087
46,-507.6063829787234
47,-510.71875
48,-510.1530612244898
49,-510.12
50,-509.2647058823529
51,-508.00961538461536
52,-510.6792452830189
53,-511.47222222222223
54,-513.5090909090909
55,-513.4553571428571
56,-513.1052631578947
57,-511.69827586206895
58,-512.1779661016949
59,-509.85
60,-507.74590163934425
61,-505.0483870967742
62,-504.2063492063492
63,-505.53125
64,-504.6307692307692
65,-505.27272727272725
66,-506.410447761194
67,-508.0882352941176
68,-508.3550724637681
69,-509.0
70,-509.90845070422534
71,-510.6388888888889
72,-510.958904109589
73,-511.0135135135135
74,-511.16
75,-511.60526315789474
76,-513.0194805194806
77,-513.5897435897435
78,-515.0822784810126
79,-514.45625
80,-513.2037037037037
81,-513.4512195121952
82,-514.0301204819277
83,-513.3511904761905
84,-512.9588235294118
85,-512.6918604651163
86,-513.0344827586207
87,-513.6079545454545
88,-512.4550561797753
89,-513.3388888888888
90,-513.1373626373627
91,-513.9402173913044
92,-513.0967741935484
93,-511.8191489361702
94,-513.3421052631579
95,-513.2552083333334
96,-512.7577319587629
97,-511.5765306122449
98,-509.6969696969697
99,-509.67
100,-508.8217821782178
101,-508.2156862745098
102,-507.5485436893204
103,-506.6682692307692
104,-507.6190476190476
105,-507.10377358490564
