episode,avg_reward,static_rewards
0,-512.0,-512.0
1,-515.0,-518.0
2,-515.0,-515.0
3,-500.0,-455.0
4,-487.8,-439.0
5,-488.1666666666667,-490.0
6,-478.2857142857143,-419.0
7,-487.5,-552.0
8,-489.55555555555554,-506.0
9,-487.0,-464.0
10,-482.1818181818182,-434.0
11,-486.5,-534.0
12,-484.6923076923077,-463.0
13,-484.7857142857143,-486.0
14,-487.2,-521.0
15,-486.0,-468.0
16,-480.0,-384.0
17,-476.0,-408.0
18,-474.4736842105263,-447.0
19,-474.35,-472.0
20,-474.0952380952381,-469.0
21,-476.04545454545456,-517.0
22,-474.3478260869565,-437.0
23,-468.75,-340.0
24,-469.28,-482.0
25,-467.15384615384613,-414.0
26,-465.55555555555554,-424.0
27,-462.7857142857143,-388.0
28,-460.44827586206895,-395.0
29,-459.3,-426.0
30,-459.38709677419354,-462.0
31,-460.625,-499.0
32,-460.030303030303,-441.0
33,-458.44117647058823,-406.0
34,-459.54285714285714,-497.0
35,-462.05555555555554,-550.0
36,-463.6216216216216,-520.0
37,-464.92105263157896,-513.0
38,-466.71794871794873,-535.0
39,-467.8,-510.0
40,-467.7317073170732,-465.0
41,-467.95238095238096,-477.0
42,-467.8139534883721,-462.0
43,-467.4318181818182,-451.0
44,-468.53333333333336,-517.0
45,-469.67391304347825,-521.0
46,-469.2340425531915,-449.0
47,-470.9791666666667,-553.0
48,-470.42857142857144,-444.0
49,-469.12,-405.0
50,-468.7843137254902,-452.0
51,-468.28846153846155,-443.0
52,-468.9056603773585,-501.0
53,-469.9074074074074,-523.0
54,-469.96363636363634,-473.0
55,-469.3392857142857,-435.0
56,-469.0877192982456,-455.0
57,-469.5,-493.0
58,-468.4406779661017,-407.0
59,-467.56666666666666,-416.0
60,-466.7049180327869,-415.0
61,-466.741935483871,-469.0
62,-466.1904761904762,-432.0
63,-465.84375,-444.0
64,-464.61538461538464,-386.0
65,-463.45454545454544,-388.0
66,-463.3731343283582,-458.0
67,-463.04411764705884,-441.0
68,-462.71014492753625,-440.0
69,-462.1857142857143,-426.0
70,-462.09859154929575,-456.0
71,-462.1111111111111,-463.0
72,-460.06849315068496,-313.0
73,-459.5945945945946,-425.0
74,-459.16,-427.0
75,-459.5,-485.0
76,-459.53246753246754,-462.0
77,-459.2564102564103,-438.0
78,-459.8607594936709,-507.0
79,-458.925,-385.0
80,-458.48148148148147,-423.0
81,-458.5121951219512,-461.0
82,-458.144578313253,-428.0
83,-457.75,-425.0
84,-457.2470588235294,-415.0
85,-456.2325581395349,-370.0
86,-455.64367816091954,-405.0
87,-455.57954545454544,-450.0
88,-455.69662921348316,-466.0
89,-456.25555555555553,-506.0
90,-456.4835164835165,-477.0
91,-455.57608695652175,-373.0
92,-455.7741935483871,-474.0
93,-455.48936170212767,-429.0
94,-455.90526315789475,-495.0
95,-456.21875,-486.0
96,-457.02061855670104,-534.0
97,-457.81632653061223,-535.0
98,-457.979797979798,-474.0
99,-458.43,-503.0
100,-459.41584158415844,-558.0
101,-458.7450980392157,-391.0
102,-458.3398058252427,-417.0
103,-458.5,-475.0
104,-458.65714285714284,-475.0
105,-458.1509433962264,-405.0
106,-458.196261682243,-463.0
107,-458.3425925925926,-474.0
108,-458.1834862385321,-441.0
109,-459.03636363636366,-552.0
110,-459.2972972972973,-488.0
111,-459.04464285714283,-431.0
112,-458.85840707964604,-438.0
113,-459.29824561403507,-509.0
114,-459.3304347826087,-463.0
115,-458.87068965517244,-406.0
116,-458.44444444444446,-409.0
117,-458.06779661016947,-414.0
118,-458.33613445378154,-490.0
119,-457.8833333333333,-404.0
120,-458.12396694214874,-487.0
121,-457.5081967213115,-383.0
122,-457.8455284552846,-499.0
123,-457.56451612903226,-423.0
124,-457.896,-499.0
125,-458.1190476190476,-486.0
126,-457.7244094488189,-408.0
127,-458.7578125,-590.0
128,-459.27906976744185,-526.0
129,-459.38461538461536,-473.0
130,-459.17557251908397,-432.0
131,-458.969696969697,-432.0
132,-458.89473684210526,-449.0
133,-458.7835820895522,-444.0
134,-459.23703703703706,-520.0
135,-459.02941176470586,-431.0
136,-459.06569343065695,-464.0
137,-458.40579710144925,-368.0
138,-458.0287769784173,-406.0
139,-458.3142857142857,-498.0
140,-457.79432624113474,-385.0
141,-457.1056338028169,-360.0
142,-456.83216783216784,-418.0
143,-457.3541666666667,-532.0
144,-457.0827586206897,-418.0
145,-457.02054794520546,-448.0
146,-457.40816326530614,-514.0
147,-456.60135135135135,-338.0
148,-456.51006711409394,-443.0
149,-456.92,-518.0
150,-457.3046357615894,-515.0
151,-456.8618421052632,-390.0
152,-457.4575163398693,-548.0
153,-457.90909090909093,-527.0
154,-457.52258064516127,-398.0
155,-457.12820512820514,-396.0
156,-457.2547770700637,-477.0
157,-456.9493670886076,-409.0
158,-456.8679245283019,-444.0
159,-457.14375,-501.0
160,-457.49068322981367,-513.0
161,-457.3703703703704,-438.0
162,-456.6993865030675,-348.0
163,-456.890243902439,-488.0
164,-457.1393939393939,-498.0
165,-457.578313253012,-530.0
166,-457.2874251497006,-409.0
167,-457.5654761904762,-504.0
168,-458.15384615384613,-557.0
169,-458.47058823529414,-512.0
170,-457.96491228070175,-372.0
171,-457.9011627906977,-447.0
172,-458.21965317919074,-513.0
173,-459.5402298850575,-688.0
174,-459.6742857142857,-483.0
175,-459.57954545454544,-443.0
176,-459.11299435028246,-377.0
177,-459.12359550561797,-461.0
178,-459.4189944134078,-512.0
179,-459.25555555555553,-430.0
180,-457.585635359116,-157.0
181,-457.5769230769231,-456.0
182,-457.3825136612022,-422.0
183,-457.4945652173913,-478.0
184,-457.9513513513514,-542.0
185,-457.5537634408602,-384.0
186,-457.5614973262032,-459.0
187,-457.70212765957444,-484.0
188,-457.36507936507934,-394.0
189,-456.2578947368421,-247.0
190,-456.28795811518324,-462.0
191,-456.5052083333333,-498.0
192,-456.78756476683935,-511.0
193,-456.63917525773195,-428.0
194,-456.6102564102564,-451.0
195,-456.3673469387755,-409.0
196,-456.3299492385787,-449.0
197,-456.2828282828283,-447.0
198,-456.23115577889445,-446.0
199,-456.275,-465.0
200,-455.99004975124376,-399.0
201,-455.84653465346537,-427.0
202,-455.5665024630542,-399.0
203,-455.69607843137254,-482.0
204,-455.54146341463417,-424.0
205,-455.61650485436894,-471.0
