episode,avg_reward
0,-544.0
1,-539.5
2,-535.3333333333334
3,-560.25
4,-537.8
5,-527.0
6,-520.0
7,-519.0
8,-508.22222222222223
9,-500.2
10,-494.45454545454544
11,-495.6666666666667
12,-494.2307692307692
13,-488.64285714285717
14,-488.6666666666667
15,-494.25
16,-489.5882352941176
17,-488.1666666666667
18,-485.3157894736842
19,-481.75
20,-481.5238095238095
21,-484.8181818181818
22,-482.30434782608694
23,-481.4583333333333
24,-479.96
25,-479.0
26,-477.74074074074076
27,-482.7857142857143
28,-479.62068965517244
29,-483.7
30,-481.4516129032258
31,-481.1875
32,-481.42424242424244
33,-480.38235294117646
34,-480.14285714285717
35,-480.52777777777777
36,-479.7027027027027
37,-477.7631578947368
38,-475.6923076923077
39,-473.825
40,-473.219512195122
41,-472.2857142857143
42,-474.25581395348837
43,-474.75
44,-475.68888888888887
45,-473.9782608695652
46,-472.9574468085106
47,-470.9166666666667
48,-469.2857142857143
49,-466.96
50,-467.0
51,-465.84615384615387
52,-464.5660377358491
53,-464.037037037037
54,-463.3090909090909
55,-463.60714285714283
56,-462.42105263157896
57,-462.2068965517241
58,-463.8135593220339
59,-463.45
60,-463.9672131147541
61,-463.64516129032256
62,-462.8412698412698
63,-463.34375
64,-462.5076923076923
65,-460.8181818181818
66,-460.8358208955224
67,-460.3970588235294
68,-461.15942028985506
69,-461.6714285714286
70,-461.92957746478874
71,-461.80555555555554
72,-461.16438356164383
73,-461.47297297297297
74,-461.9866666666667
75,-462.4078947368421
76,-463.14285714285717
77,-463.44871794871796
78,-463.4810126582278
79,-463.6875
80,-463.4074074074074
81,-461.5609756097561
82,-461.32530120481925
83,-461.1904761904762
84,-461.88235294117646
85,-461.1744186046512
86,-461.51724137931035
87,-461.71590909090907
88,-460.8876404494382
89,-461.5444444444444
90,-460.8901098901099
91,-460.35869565217394
92,-460.2258064516129
93,-458.8829787234043
94,-458.4421052631579
95,-458.6979166666667
96,-461.12371134020617
97,-461.5
98,-461.80808080808083
99,-460.87
100,-460.81188118811883
101,-462.2352941176471
102,-463.3592233009709
103,-463.13461538461536
104,-462.81904761904764
105,-465.2641509433962
106,-464.803738317757
107,-464.5833333333333
108,-464.88990825688074
109,-465.3818181818182
110,-465.07207207207205
111,-464.70535714285717
112,-464.50442477876106
113,-463.92105263157896
114,-463.7391304347826
115,-463.82758620689657
116,-463.6752136752137
117,-463.0508474576271
118,-463.02521008403363
119,-462.90833333333336
120,-463.20661157024796
121,-462.8114754098361
122,-462.739837398374
123,-462.35483870967744
124,-462.104
125,-461.8333333333333
126,-461.46456692913387
127,-461.625
128,-461.3410852713178
129,-461.4307692307692
130,-460.6106870229008
131,-460.2651515151515
132,-460.7368421052632
133,-460.3059701492537
134,-459.43703703703704
135,-459.56617647058823
136,-458.5985401459854
137,-458.7608695652174
138,-458.863309352518
139,-458.6357142857143
140,-459.0851063829787
141,-458.90845070422534
142,-458.5524475524476
143,-458.47222222222223
144,-458.1310344827586
145,-457.8972602739726
146,-457.4829931972789
147,-456.94594594594594
148,-457.02013422818794
149,-456.5466666666667
150,-456.9006622516556
151,-456.24342105263156
152,-456.1372549019608
153,-455.64285714285717
154,-455.3483870967742
155,-455.2371794871795
156,-455.12738853503186
157,-455.246835443038
158,-454.9496855345912
159,-455.89375
160,-455.72670807453414
161,-455.5617283950617
162,-455.2453987730061
163,-454.9756097560976
164,-455.27272727272725
165,-455.39156626506025
166,-454.9580838323353
167,-454.8452380952381
168,-454.64497041420117
169,-455.0176470588235
170,-454.3567251461988
171,-454.24418604651163
172,-453.7456647398844
173,-453.91954022988506
174,-453.96
175,-453.75
176,-453.98870056497174
177,-453.7977528089888
178,-453.23463687150837
179,-452.90555555555557
180,-452.76795580110496
181,-452.8021978021978
182,-452.89617486338796
183,-452.6847826086956
184,-452.74594594594595
185,-452.5
186,-452.57754010695186
187,-452.42021276595744
188,-452.0740740740741
189,-451.9421052631579
190,-451.565445026178
191,-450.1041666666667
192,-450.0621761658031
193,-449.5360824742268
194,-449.5846153846154
195,-449.2448979591837
196,-449.3553299492386
197,-449.3838383838384
198,-449.0603015075377
199,-448.99
200,-448.8606965174129
201,-448.8267326732673
202,-448.9064039408867
203,-448.87745098039215
204,-448.73658536585367
205,-448.36407766990294
206,-447.8937198067633
207,-447.7932692307692
208,-447.5837320574163
209,-447.44761904761907
210,-447.28909952606637
211,-447.3018867924528
212,-447.6901408450704
213,-448.06542056074767
214,-448.2604651162791
215,-447.8240740740741
216,-447.963133640553
217,-447.8211009174312
218,-447.6986301369863
219,-447.78636363636366
220,-447.47058823529414
221,-446.14864864864865
222,-446.3542600896861
223,-446.41964285714283
224,-446.38666666666666
225,-446.1592920353982
226,-445.98237885462555
227,-445.67105263157896
228,-445.70742358078604
229,-445.4260869565217
230,-445.24242424242425
231,-444.78879310344826
232,-444.8755364806867
233,-444.54700854700855
234,-444.31489361702126
235,-444.1398305084746
236,-444.1814345991561
237,-444.49159663865544
238,-444.30543933054395
239,-444.03333333333336
240,-443.61410788381744
241,-443.504132231405
242,-443.5761316872428
243,-443.5245901639344
