episode,avg_reward,static_rewards
0,-565.0,-565.0
1,-525.0,-485.0
2,-520.0,-510.0
3,-561.25,-685.0
4,-527.6,-393.0
5,-526.5,-521.0
6,-521.8571428571429,-494.0
7,-534.75,-625.0
8,-530.5555555555555,-497.0
9,-531.0,-535.0
10,-553.0,-773.0
11,-546.3333333333334,-473.0
12,-546.0,-542.0
13,-539.3571428571429,-453.0
14,-539.1333333333333,-536.0
15,-535.5,-481.0
16,-531.7058823529412,-471.0
17,-527.5,-456.0
18,-527.1052631578947,-520.0
19,-522.0,-425.0
20,-521.1904761904761,-505.0
21,-521.2727272727273,-523.0
22,-520.4347826086956,-502.0
23,-518.0416666666666,-463.0
24,-508.92,-290.0
25,-517.1923076923077,-724.0
26,-515.8518518518518,-481.0
27,-515.6071428571429,-509.0
28,-511.6896551724138,-402.0
29,-510.93333333333334,-489.0
30,-509.3225806451613,-461.0
31,-507.28125,-444.0
32,-506.45454545454544,-480.0
33,-503.3529411764706,-401.0
34,-502.6857142857143,-480.0
35,-501.3333333333333,-454.0
36,-498.56756756756755,-399.0
37,-497.10526315789474,-443.0
38,-498.35897435897436,-546.0
39,-499.075,-527.0
40,-498.1219512195122,-460.0
41,-502.76190476190476,-693.0
42,-501.1860465116279,-435.0
43,-499.95454545454544,-447.0
44,-497.06666666666666,-370.0
45,-495.80434782608694,-439.0
46,-494.4468085106383,-432.0
47,-493.6875,-458.0
48,-494.0816326530612,-513.0
49,-494.54,-517.0
50,-493.7843137254902,-456.0
51,-493.6730769230769,-488.0
52,-493.35849056603774,-477.0
53,-493.35185185185185,-493.0
54,-492.6,-452.0
55,-492.51785714285717,-488.0
56,-490.12280701754383,-356.0
57,-489.67241379310343,-464.0
58,-489.728813559322,-493.0
59,-489.85,-497.0
60,-484.7049180327869,-176.0
61,-484.53225806451616,-474.0
62,-484.3968253968254,-476.0
63,-483.625,-435.0
64,-483.1384615384615,-452.0
65,-483.09090909090907,-480.0
66,-483.4776119402985,-509.0
67,-483.0,-451.0
68,-482.8985507246377,-476.0
69,-480.92857142857144,-345.0
70,-480.71830985915494,-466.0
71,-480.5833333333333,-471.0
72,-479.4109589041096,-395.0
73,-479.2972972972973,-471.0
74,-478.70666666666665,-435.0
75,-478.2631578947368,-445.0
76,-477.3246753246753,-406.0
77,-478.37179487179486,-559.0
78,-477.7088607594937,-426.0
79,-477.4375,-456.0
80,-477.65432098765433,-495.0
81,-477.0121951219512,-425.0
82,-477.5542168674699,-522.0
83,-478.0357142857143,-518.0
84,-478.01176470588234,-476.0
85,-477.3720930232558,-423.0
86,-477.08045977011494,-452.0
87,-477.45454545454544,-510.0
88,-477.1011235955056,-446.0
89,-477.31111111111113,-496.0
90,-478.3626373626374,-573.0
91,-479.45652173913044,-579.0
92,-478.9032258064516,-428.0
93,-479.13829787234044,-501.0
94,-479.30526315789473,-495.0
95,-479.8333333333333,-530.0
96,-479.0515463917526,-404.0
97,-479.0408163265306,-478.0
98,-479.3939393939394,-514.0
99,-479.57,-497.0
100,-479.23762376237624,-446.0
101,-479.0882352941176,-464.0
102,-479.3980582524272,-511.0
103,-479.5192307692308,-492.0
104,-479.2,-446.0
105,-479.3679245283019,-497.0
106,-478.7102803738318,-409.0
107,-479.24074074074076,-536.0
108,-479.13761467889907,-468.0
109,-476.8909090909091,-232.0
110,-478.009009009009,-601.0
111,-477.1875,-386.0
112,-477.0088495575221,-457.0
113,-476.89473684210526,-464.0
114,-476.81739130434784,-468.0
115,-477.07758620689657,-507.0
116,-477.0854700854701,-478.0
117,-477.1694915254237,-487.0
118,-477.781512605042,-550.0
119,-478.475,-561.0
120,-478.79338842975204,-517.0
121,-478.0327868852459,-386.0
122,-478.1951219512195,-498.0
123,-478.3790322580645,-501.0
124,-478.768,-527.0
125,-479.41269841269843,-560.0
126,-479.90551181102364,-542.0
127,-479.7890625,-465.0
128,-479.6821705426357,-466.0
129,-479.33076923076925,-434.0
130,-478.7175572519084,-399.0
131,-480.0530303030303,-655.0
132,-480.2631578947368,-508.0
133,-479.23880597014926,-343.0
134,-478.9555555555556,-441.0
135,-478.97058823529414,-481.0
136,-478.82481751824815,-459.0
137,-478.7463768115942,-468.0
138,-478.294964028777,-416.0
139,-478.15,-458.0
140,-478.0567375886525,-465.0
141,-477.5211267605634,-402.0
142,-477.6993006993007,-503.0
143,-477.2013888888889,-406.0
144,-477.1034482758621,-463.0
145,-476.8150684931507,-435.0
146,-477.0952380952381,-518.0
147,-477.6081081081081,-553.0
148,-477.16107382550337,-411.0
149,-477.1066666666667,-469.0
150,-476.72847682119203,-420.0
151,-476.38157894736844,-424.0
152,-475.22222222222223,-299.0
153,-475.2792207792208,-484.0
154,-475.64516129032256,-532.0
155,-475.7628205128205,-494.0
156,-475.73248407643314,-471.0
157,-475.82278481012656,-490.0
158,-475.70440251572325,-457.0
159,-475.58125,-456.0
160,-474.2422360248447,-260.0
161,-474.35185185185185,-492.0
162,-474.66257668711654,-525.0
163,-474.7073170731707,-482.0
164,-474.76969696969695,-485.0
165,-474.63253012048193,-452.0
166,-473.9580838323353,-362.0
167,-474.04761904761904,-489.0
168,-473.9940828402367,-465.0
169,-474.08235294117645,-489.0
170,-474.27485380116957,-507.0
171,-474.30232558139534,-479.0
172,-473.94797687861274,-413.0
173,-473.7241379310345,-435.0
174,-473.9714285714286,-517.0
175,-474.0,-479.0
176,-474.28248587570624,-524.0
177,-474.94943820224717,-593.0
178,-474.9329608938547,-472.0
179,-474.24444444444447,-351.0
180,-473.97237569060775,-425.0
181,-474.24175824175825,-523.0
182,-474.3114754098361,-487.0
183,-474.05434782608694,-427.0
184,-474.2432432432432,-509.0
185,-474.38709677419354,-501.0
186,-474.0855614973262,-418.0
187,-473.81382978723406,-423.0
188,-473.84656084656086,-480.0
189,-473.6842105263158,-443.0
190,-473.64921465968587,-467.0
191,-473.7447916666667,-492.0
192,-473.7098445595855,-467.0
193,-473.8298969072165,-497.0
194,-473.6820512820513,-445.0
195,-473.4744897959184,-433.0
196,-473.23857868020303,-427.0
197,-473.15656565656565,-457.0
198,-472.8241206030151,-407.0
199,-472.82,-472.0
200,-472.81094527363183,-471.0
201,-472.2821782178218,-366.0
202,-472.192118226601,-454.0
203,-471.828431372549,-398.0
204,-471.98536585365855,-504.0
205,-471.6747572815534,-408.0
206,-471.81159420289856,-500.0
207,-471.7451923076923,-458.0
208,-471.9425837320574,-513.0
209,-472.1,-505.0
210,-472.2654028436019,-507.0
211,-472.3066037735849,-481.0
212,-472.3286384976526,-477.0
213,-472.3130841121495,-469.0
214,-472.1767441860465,-443.0
215,-472.875,-623.0
216,-473.3410138248848,-574.0
217,-473.2110091743119,-445.0
218,-473.41552511415523,-518.0
219,-472.44545454545454,-260.0
220,-472.4027149321267,-463.0
221,-472.6126126126126,-519.0
222,-472.8520179372197,-526.0
223,-473.13839285714283,-537.0
224,-473.0577777777778,-455.0
225,-472.8805309734513,-433.0
226,-472.8193832599119,-459.0
