episode,avg_reward
0,-464.0
1,-496.0
2,-493.6666666666667
3,-431.0
4,-432.8
5,-442.8333333333333
6,-439.0
7,-440.125
8,-448.44444444444446
9,-451.9
10,-456.45454545454544
11,-462.5833333333333
12,-465.46153846153845
13,-473.5
14,-472.0
15,-470.75
16,-471.05882352941177
17,-474.94444444444446
18,-472.57894736842104
19,-470.65
20,-474.6666666666667
21,-473.45454545454544
22,-472.8695652173913
23,-475.0
24,-473.0
25,-472.96153846153845
26,-469.77777777777777
27,-472.0
28,-473.51724137931035
29,-472.03333333333336
30,-472.4193548387097
31,-473.90625
32,-474.6666666666667
33,-475.5
34,-475.54285714285714
35,-474.05555555555554
36,-472.5945945945946
37,-472.36842105263156
38,-474.8205128205128
39,-477.075
40,-476.3414634146341
41,-476.5238095238095
42,-475.7906976744186
43,-476.70454545454544
44,-471.75555555555553
45,-472.1304347826087
46,-472.2340425531915
47,-472.6458333333333
48,-474.85714285714283
49,-475.24
50,-474.6078431372549
51,-474.88461538461536
52,-471.0
53,-466.3888888888889
54,-464.76363636363635
55,-464.35714285714283
56,-464.64912280701753
57,-464.8448275862069
58,-465.22033898305085
59,-464.31666666666666
60,-465.6393442622951
61,-465.241935483871
62,-464.6190476190476
63,-464.078125
64,-463.2923076923077
65,-464.5151515151515
66,-464.67164179104475
67,-463.9264705882353
68,-464.57971014492756
69,-463.74285714285713
70,-463.2676056338028
71,-462.5416666666667
72,-462.1232876712329
73,-463.05405405405406
74,-462.61333333333334
75,-462.17105263157896
76,-462.3376623376623
77,-461.9871794871795
78,-462.46835443037975
79,-462.575
80,-462.1111111111111
81,-462.0609756097561
82,-461.9879518072289
83,-461.70238095238096
84,-461.8235294117647
85,-462.3255813953488
86,-463.1264367816092
87,-462.8863636363636
88,-462.97752808988764
89,-463.5777777777778
90,-463.43956043956047
91,-463.14130434782606
92,-462.55913978494624
93,-464.1276595744681
94,-464.0315789473684
95,-463.8958333333333
96,-462.89690721649487
97,-462.8061224489796
98,-462.06060606060606
99,-462.37
100,-461.4950495049505
101,-462.03921568627453
102,-461.9514563106796
103,-461.34615384615387
104,-461.57142857142856
105,-461.22641509433964
106,-461.2803738317757
107,-461.8333333333333
108,-460.48623853211006
109,-461.1727272727273
110,-460.97297297297297
111,-460.9107142857143
112,-460.50442477876106
113,-460.1140350877193
114,-459.9130434782609
115,-460.1810344827586
116,-459.87179487179486
117,-460.08474576271186
118,-460.07563025210084
119,-459.9166666666667
120,-459.54545454545456
121,-459.672131147541
122,-459.6422764227642
123,-459.43548387096774
124,-459.664
125,-459.9761904761905
126,-460.1417322834646
127,-459.375
128,-458.8139534883721
129,-458.61538461538464
130,-458.206106870229
131,-457.3181818181818
132,-457.2781954887218
133,-457.02985074626866
134,-457.0074074074074
135,-456.93382352941177
136,-456.94160583941607
137,-456.69565217391306
138,-456.37410071942446
139,-456.1642857142857
140,-455.9078014184397
141,-455.9366197183099
142,-455.6083916083916
143,-455.15277777777777
144,-455.04137931034484
145,-454.3493150684931
146,-454.8775510204082
147,-454.7027027027027
148,-454.8456375838926
149,-454.5933333333333
150,-453.94039735099335
151,-453.6842105263158
152,-453.54901960784315
153,-453.6233766233766
154,-454.0387096774194
155,-453.9871794871795
156,-453.0191082802548
157,-452.59493670886076
158,-452.50314465408803
159,-452.15
160,-451.62111801242236
161,-451.358024691358
162,-451.60122699386505
163,-451.4146341463415
164,-451.4727272727273
165,-451.0120481927711
166,-451.0898203592814
167,-451.29761904761904
168,-452.6390532544379
169,-452.6411764705882
170,-452.5438596491228
171,-452.4360465116279
172,-452.65895953757223
173,-452.67241379310343
174,-452.51428571428573
175,-452.48295454545456
176,-450.96610169491527
177,-450.7865168539326
178,-450.5195530726257
179,-450.53333333333336
180,-450.50276243093924
181,-450.46153846153845
182,-450.27322404371586
183,-450.20652173913044
184,-450.52972972972975
185,-450.5268817204301
186,-450.475935828877
187,-450.1648936170213
188,-450.34391534391534
189,-450.4894736842105
190,-449.9214659685864
191,-449.84375
192,-449.1658031088083
193,-448.8917525773196
194,-449.0820512820513
195,-449.2295918367347
196,-448.8274111675127
197,-447.15656565656565
198,-446.8140703517588
199,-446.575
200,-446.55223880597015
201,-446.6287128712871
202,-446.0541871921182
203,-446.0049019607843
204,-446.0682926829268
205,-446.15533980582524
206,-446.0676328502415
207,-446.2067307692308
208,-445.2248803827751
209,-445.43333333333334
210,-444.1137440758294
211,-443.6367924528302
212,-443.50704225352115
213,-443.29906542056074
214,-443.4651162790698
215,-443.5833333333333
216,-443.46543778801845
217,-443.1605504587156
218,-442.5890410958904
219,-442.68636363636364
220,-442.24886877828055
221,-441.9099099099099
222,-441.7533632286995
223,-441.50892857142856
224,-441.47555555555556
225,-441.146017699115
226,-440.85022026431716
227,-440.7938596491228
228,-440.72052401746726
229,-440.8
230,-440.8484848484849
231,-440.4439655172414
232,-440.5450643776824
233,-440.15384615384613
234,-439.79574468085104
235,-439.45338983050846
236,-439.29957805907173
237,-438.8697478991597
238,-438.0962343096234
239,-437.7416666666667
240,-437.5560165975104
241,-437.8264462809917
242,-437.6625514403292
243,-437.3975409836066
244,-437.4530612244898
245,-436.3821138211382
246,-436.54655870445345
247,-435.875
248,-436.00401606425703
249,-435.068
250,-435.195219123506
251,-435.0595238095238
252,-434.80632411067194
253,-435.0236220472441
254,-435.2196078431373
255,-435.5078125
256,-435.6031128404669
257,-435.1162790697674
258,-434.6138996138996
259,-434.7230769230769
260,-434.7547892720307
261,-434.74045801526717
262,-434.96958174904944
263,-434.93939393939394
264,-434.07169811320756
265,-433.90977443609023
266,-433.8314606741573
267,-433.76119402985074
268,-433.5910780669145
269,-433.34814814814814
270,-432.9630996309963
271,-432.94117647058823
272,-432.54578754578756
273,-432.65328467153284
274,-432.59272727272725
275,-431.65579710144925
276,-431.85920577617327
277,-431.48920863309354
278,-431.2616487455197
279,-431.4
280,-431.4519572953737
281,-431.1241134751773
282,-431.2650176678445
283,-431.443661971831
284,-430.12631578947367
285,-429.9475524475524
286,-429.7317073170732
287,-429.84722222222223
288,-429.87543252595157
289,-429.8448275862069
290,-429.41580756013747
291,-429.4349315068493
292,-429.5460750853242
293,-429.7142857142857
294,-428.99322033898306
295,-428.98986486486484
296,-428.58249158249157
297,-428.61073825503354
298,-428.6354515050167
299,-428.43
300,-428.6179401993355
301,-428.23509933774835
302,-427.48514851485146
303,-426.79605263157896
304,-425.96065573770494
305,-426.03921568627453
306,-425.96416938110747
307,-425.34415584415586
308,-424.86407766990294
309,-424.4
310,-424.2475884244373
311,-424.39102564102564
312,-423.77635782747603
313,-422.99044585987264
314,-422.6063492063492
315,-422.0221518987342
316,-421.30914826498423
317,-421.437106918239
318,-420.8150470219436
319,-420.5125
320,-420.45482866043614
321,-420.10869565217394
322,-419.9504643962848
323,-419.56481481481484
324,-419.44
325,-419.61042944785277
326,-419.23853211009174
327,-418.8689024390244
328,-418.54711246200606
329,-418.6575757575758
330,-417.87311178247734
331,-418.0933734939759
332,-417.93993993993996
333,-417.7754491017964
334,-417.6597014925373
335,-417.5208333333333
336,-417.406528189911
337,-417.2189349112426
338,-417.3274336283186
339,-417.24117647058824
340,-417.00293255131965
341,-416.9122807017544
342,-417.0116618075802
343,-416.61046511627904
344,-416.536231884058
345,-416.4306358381503
346,-416.0662824207493
347,-415.51149425287355
348,-415.45845272206304
349,-414.9142857142857
350,-414.8945868945869
351,-414.68465909090907
352,-414.6770538243626
353,-414.638418079096
354,-414.7661971830986
355,-413.9522471910112
356,-413.3473389355742
357,-412.5586592178771
358,-412.1922005571031
359,-412.21944444444443
360,-412.3628808864266
361,-412.207182320442
362,-412.30027548209364
363,-412.11538461538464
364,-412.0191780821918
365,-411.8688524590164
366,-411.3460490463215
367,-411.20380434782606
368,-410.6178861788618
369,-410.0567567567568
370,-409.7385444743935
371,-409.26612903225805
372,-408.35656836461123
373,-408.33422459893046
374,-406.92
375,-406.52659574468083
376,-406.58885941644564
377,-406.4761904761905
378,-406.60158311345646
379,-406.31052631578945
380,-406.0577427821522
381,-405.71204188481676
382,-405.5639686684073
383,-405.7239583333333
384,-405.64155844155846
385,-405.44559585492226
386,-405.5607235142119
387,-405.1958762886598
388,-403.8457583547558
389,-403.3871794871795
390,-402.78772378516624
391,-402.0459183673469
392,-401.9211195928753
393,-401.1294416243655
394,-400.2227848101266
395,-400.0656565656566
396,-399.46851385390426
397,-398.70854271356785
398,-398.328320802005
399,-398.115
400,-397.6109725685786
401,-397.82338308457713
402,-397.48883374689825
403,-396.58910891089107
404,-396.41975308641975
405,-396.2832512315271
406,-396.07371007371006
407,-395.81617647058823
408,-395.6210268948655
409,-395.409756097561
410,-395.3479318734793
411,-395.2305825242718
412,-395.18401937046
413,-394.8550724637681
414,-394.86265060240964
415,-394.06971153846155
416,-393.5275779376499
417,-393.54545454545456
418,-393.3198090692124
419,-393.24285714285713
420,-392.8432304038005
421,-392.521327014218
422,-392.6548463356974
423,-392.5377358490566
424,-392.14588235294116
425,-392.3568075117371
426,-391.8665105386417
427,-391.89252336448595
428,-391.6317016317016
429,-390.53953488372093
430,-390.3155452436195
431,-389.3125
432,-389.4549653579677
433,-389.0852534562212
434,-389.0781609195402
435,-388.7775229357798
436,-388.9954233409611
437,-389.0433789954338
438,-389.0660592255125
439,-388.95454545454544
440,-389.1156462585034
441,-388.69457013574663
442,-388.67945823927766
443,-388.63963963963965
444,-388.0314606741573
445,-388.06726457399105
446,-388.07829977628637
447,-387.046875
448,-387.1492204899777
449,-386.97555555555556
450,-386.83370288248335
451,-386.9911504424779
452,-387.11920529801324
453,-386.85022026431716
454,-386.62857142857143
455,-386.6535087719298
456,-386.79868708971554
457,-386.51091703056767
458,-386.4270152505447
459,-386.4760869565217
460,-386.68112798264644
461,-386.53246753246754
462,-386.3671706263499
463,-386.26293103448273
464,-386.13548387096773
465,-386.27896995708153
466,-386.4625267665953
467,-386.59188034188037
468,-385.9445628997868
469,-385.59574468085106
470,-385.39065817409767
471,-385.27330508474574
472,-385.1649048625793
473,-384.76160337552744
474,-384.6926315789474
475,-383.8970588235294
476,-383.94129979035637
477,-383.94142259414224
478,-384.0876826722338
479,-383.22083333333336
480,-383.1018711018711
481,-382.46058091286307
482,-382.2173913043478
483,-382.2665289256198
484,-382.29896907216494
485,-382.15432098765433
486,-381.77618069815196
487,-381.3831967213115
488,-381.5623721881391
489,-381.67755102040815
490,-381.70468431771894
491,-381.2459349593496
492,-381.3610547667343
493,-380.46963562753035
494,-379.8747474747475
495,-379.53225806451616
496,-379.17505030181087
497,-379.1004016064257
498,-378.3547094188377
499,-378.204
500,-378.125748502994
501,-377.7231075697211
502,-377.63817097415506
503,-376.9087301587302
504,-376.8178217821782
505,-376.75889328063244
506,-376.2938856015779
507,-376.246062992126
508,-376.1944990176817
509,-375.9235294117647
510,-375.19373776908026
511,-374.97265625
512,-374.85575048732943
513,-374.42996108949416
514,-374.1456310679612
515,-374.31007751937983
516,-373.09671179883946
517,-373.2027027027027
518,-373.2447013487476
519,-372.6019230769231
520,-372.1880998080614
521,-372.39463601532566
522,-371.3135755258126
523,-371.00954198473283
524,-370.64
525,-370.5551330798479
526,-370.5673624288425
527,-369.9848484848485
528,-369.51984877126654
529,-369.477358490566
530,-369.54237288135596
531,-369.3703007518797
532,-369.4183864915572
533,-369.46816479400746
