======================================================================
DQN Agent Evaluation Results
======================================================================
Generated: 2025-11-26 20:42:22
======================================================================

SUMMARY STATISTICS
----------------------------------------------------------------------
Games Played: 1000
Wins: 0
Win Rate: 0.00%
Evaluation Runtime: 69.99 seconds (1.17 minutes)

SCORE STATISTICS
----------------------------------------------------------------------
Average Score: -366.18
Std Dev: 116.75
Min Score: -610.00
Max Score: 38.00
Median Score: -387.00

EPISODE LENGTH STATISTICS
----------------------------------------------------------------------
Average Length: 206.55 moves
Min Length: 43 moves
Max Length: 598 moves
Median Length: 133 moves

INDIVIDUAL GAME RESULTS
----------------------------------------------------------------------
Game   Win    Score      Length    
----------------------------------------------------------------------
1      No     -439.00    130       
2      No     -549.00    586       
3      No     -334.00    118       
4      No     -389.00    214       
5      No     -414.00    250       
6      No     -397.00    97        
7      No     -303.00    70        
8      No     -407.00    241       
9      No     5.00       598       
10     No     -377.00    175       
11     No     -404.00    88        
12     No     -390.00    232       
13     No     -407.00    229       
14     No     -386.00    67        
15     No     16.00      598       
16     No     -406.00    52        
17     No     -486.00    493       
18     No     -386.00    130       
19     No     -442.00    238       
20     No     -378.00    289       
21     No     -406.00    88        
22     No     -383.00    46        
23     No     -11.00     598       
24     No     -346.00    94        
25     No     -382.00    49        
26     No     -522.00    502       
27     No     -420.00    178       
28     No     -358.00    88        
29     No     -380.00    52        
30     No     -423.00    310       
31     No     -372.00    43        
32     No     -406.00    49        
33     No     -384.00    514       
34     No     -381.00    100       
35     No     -428.00    145       
36     No     -369.00    49        
37     No     -381.00    97        
38     No     -273.00    82        
39     No     -322.00    100       
40     No     -269.00    67        
41     No     -366.00    133       
42     No     -355.00    172       
43     No     -360.00    52        
44     No     -440.00    205       
45     No     -401.00    52        
46     No     -405.00    115       
47     No     -373.00    205       
48     No     -330.00    100       
49     No     -365.00    46        
50     No     -386.00    100       
51     No     -394.00    88        
52     No     -352.00    214       
53     No     -397.00    82        
54     No     -361.00    91        
55     No     -394.00    199       
56     No     -448.00    208       
57     No     -425.00    391       
58     No     -353.00    97        
59     No     -358.00    181       
60     No     -409.00    304       
61     No     -431.00    352       
62     No     -343.00    70        
63     No     -430.00    181       
64     No     -442.00    46        
65     No     -354.00    79        
66     No     -465.00    247       
67     No     -437.00    148       
68     No     -336.00    124       
69     No     -378.00    82        
70     No     -87.00     598       
71     No     -449.00    313       
72     No     -348.00    49        
73     No     -335.00    46        
74     No     -490.00    289       
75     No     -403.00    262       
76     No     -480.00    469       
77     No     -404.00    49        
78     No     -60.00     598       
79     No     -390.00    208       
80     No     -39.00     598       
81     No     -375.00    97        
82     No     -78.00     598       
83     No     -336.00    82        
84     No     -375.00    67        
85     No     -504.00    364       
86     No     -400.00    70        
87     No     -421.00    79        
88     No     -444.00    460       
89     No     -393.00    46        
90     No     -387.00    136       
91     No     -311.00    124       
92     No     -457.00    391       
93     No     -399.00    97        
94     No     -438.00    43        
95     No     -347.00    127       
96     No     -430.00    229       
97     No     -439.00    46        
98     No     -448.00    241       
99     No     3.00       598       
100    No     11.00      598       
101    No     -371.00    43        
102    No     -383.00    226       
103    No     -368.00    49        
104    No     -324.00    196       
105    No     -344.00    160       
106    No     -508.00    406       
107    No     5.00       598       
108    No     -346.00    97        
109    No     -387.00    70        
110    No     -477.00    208       
111    No     -403.00    115       
112    No     -351.00    172       
113    No     -439.00    193       
114    No     -489.00    397       
115    No     -445.00    190       
116    No     -412.00    52        
117    No     -367.00    70        
118    No     -363.00    100       
119    No     -425.00    46        
120    No     -394.00    253       
121    No     -466.00    382       
122    No     -408.00    91        
123    No     -414.00    46        
124    No     -408.00    133       
125    No     -14.00     598       
126    No     -455.00    265       
127    No     -422.00    43        
128    No     -386.00    49        
129    No     -453.00    172       
130    No     1.00       598       
131    No     -388.00    184       
132    No     -411.00    136       
133    No     -351.00    109       
134    No     -390.00    205       
135    No     -377.00    214       
136    No     -356.00    97        
137    No     -361.00    49        
138    No     -338.00    46        
139    No     -376.00    124       
140    No     -325.00    109       
141    No     -424.00    52        
142    No     -447.00    193       
143    No     8.00       598       
144    No     -441.00    43        
145    No     -9.00      598       
146    No     -373.00    52        
147    No     -371.00    220       
148    No     -496.00    466       
149    No     -411.00    46        
150    No     -423.00    379       
151    No     -401.00    229       
152    No     -381.00    91        
153    No     -435.00    268       
154    No     -280.00    94        
155    No     -357.00    124       
156    No     -513.00    523       
157    No     -372.00    46        
158    No     -57.00     598       
159    No     -335.00    97        
160    No     -19.00     598       
161    No     -355.00    283       
162    No     -364.00    97        
163    No     -353.00    43        
164    No     -344.00    49        
165    No     -379.00    100       
166    No     -393.00    136       
167    No     -422.00    262       
168    No     -359.00    94        
169    No     -346.00    79        
170    No     -467.00    52        
171    No     -438.00    175       
172    No     -450.00    43        
173    No     -610.00    589       
174    No     -477.00    133       
175    No     -490.00    229       
176    No     -362.00    157       
177    No     -394.00    46        
178    No     -349.00    280       
179    No     -332.00    49        
180    No     -370.00    79        
181    No     -516.00    157       
182    No     -418.00    226       
183    No     -417.00    133       
184    No     -554.00    547       
185    No     -145.00    598       
186    No     -351.00    52        
187    No     -324.00    172       
188    No     -394.00    154       
189    No     -20.00     598       
190    No     -556.00    394       
191    No     -373.00    103       
192    No     -363.00    100       
193    No     -425.00    46        
194    No     -444.00    187       
195    No     -493.00    280       
196    No     -357.00    43        
197    No     -333.00    79        
198    No     -394.00    133       
199    No     -392.00    115       
200    No     -357.00    157       
201    No     -402.00    193       
202    No     -381.00    97        
203    No     -380.00    52        
204    No     -456.00    370       
205    No     -420.00    49        
206    No     -510.00    577       
207    No     -502.00    418       
208    No     -347.00    52        
209    No     -440.00    415       
210    No     -375.00    49        
211    No     -356.00    97        
212    No     -366.00    43        
213    No     -396.00    169       
214    No     -372.00    52        
215    No     -422.00    52        
216    No     -381.00    148       
217    No     -375.00    49        
218    No     -383.00    97        
219    No     -500.00    427       
220    No     12.00      598       
221    No     -348.00    121       
222    No     -445.00    394       
223    No     -452.00    289       
224    No     -325.00    49        
225    No     -451.00    466       
226    No     25.00      598       
227    No     -400.00    82        
228    No     -435.00    148       
229    No     -388.00    97        
230    No     -441.00    118       
231    No     -378.00    49        
232    No     -425.00    103       
233    No     -386.00    178       
234    No     -340.00    91        
235    No     -373.00    124       
236    No     -488.00    364       
237    No     -360.00    46        
238    No     -374.00    46        
239    No     -363.00    226       
240    No     -364.00    172       
241    No     -387.00    46        
242    No     -361.00    100       
243    No     -413.00    82        
244    No     -352.00    49        
245    No     -391.00    142       
246    No     -415.00    94        
247    No     -349.00    310       
248    No     -336.00    121       
249    No     -424.00    292       
250    No     -63.00     598       
251    No     -455.00    364       
252    No     -367.00    49        
253    No     -467.00    424       
254    No     -410.00    145       
255    No     -366.00    100       
256    No     -373.00    148       
257    No     28.00      598       
258    No     -323.00    112       
259    No     -498.00    286       
260    No     -437.00    277       
261    No     -389.00    115       
262    No     -397.00    49        
263    No     -402.00    241       
264    No     -400.00    109       
265    No     -383.00    46        
266    No     -372.00    175       
267    No     -452.00    232       
268    No     -374.00    46        
269    No     -401.00    157       
270    No     -419.00    208       
271    No     -415.00    67        
272    No     -494.00    265       
273    No     -377.00    94        
274    No     -86.00     598       
275    No     -58.00     598       
276    No     -428.00    88        
277    No     -345.00    52        
278    No     -365.00    115       
279    No     -377.00    136       
280    No     -417.00    358       
281    No     -504.00    574       
282    No     -434.00    337       
283    No     -376.00    49        
284    No     -395.00    97        
285    No     -381.00    118       
286    No     -389.00    145       
287    No     -398.00    49        
288    No     -363.00    94        
289    No     -375.00    70        
290    No     -375.00    46        
291    No     -330.00    199       
292    No     -421.00    190       
293    No     -360.00    97        
294    No     -416.00    43        
295    No     -489.00    457       
296    No     -411.00    247       
297    No     -391.00    97        
298    No     -353.00    43        
299    No     -307.00    94        
300    No     1.00       598       
301    No     -363.00    124       
302    No     -369.00    100       
303    No     -381.00    100       
304    No     -326.00    46        
305    No     -389.00    43        
306    No     -374.00    49        
307    No     -518.00    379       
308    No     -431.00    49        
309    No     -398.00    88        
310    No     -340.00    148       
311    No     -347.00    46        
312    No     -367.00    49        
313    No     -23.00     598       
314    No     -415.00    112       
315    No     -410.00    82        
316    No     -381.00    193       
317    No     -367.00    94        
318    No     -399.00    223       
319    No     -277.00    49        
320    No     -398.00    43        
321    No     -406.00    253       
322    No     -364.00    88        
323    No     -367.00    136       
324    No     -447.00    244       
325    No     -332.00    97        
326    No     -385.00    121       
327    No     -396.00    49        
328    No     -477.00    289       
329    No     -384.00    46        
330    No     -430.00    46        
331    No     -69.00     598       
332    No     -504.00    310       
333    No     -411.00    49        
334    No     -371.00    103       
335    No     -466.00    289       
336    No     -300.00    52        
337    No     -486.00    397       
338    No     -480.00    364       
339    No     -501.00    430       
340    No     -409.00    148       
341    No     -425.00    103       
342    No     -504.00    571       
343    No     -428.00    46        
344    No     -366.00    49        
345    No     -380.00    121       
346    No     -360.00    97        
347    No     -395.00    100       
348    No     -429.00    259       
349    No     -375.00    43        
350    No     -466.00    265       
351    No     -409.00    205       
352    No     -409.00    262       
353    No     -454.00    313       
354    No     -376.00    241       
355    No     -422.00    43        
356    No     -410.00    196       
357    No     -449.00    214       
358    No     -315.00    67        
359    No     -392.00    49        
360    No     -375.00    184       
361    No     -388.00    187       
362    No     -391.00    79        
363    No     -486.00    349       
364    No     -504.00    346       
365    No     -427.00    46        
366    No     -412.00    361       
367    No     -473.00    562       
368    No     -383.00    46        
369    No     -33.00     598       
370    No     -398.00    46        
371    No     -17.00     598       
372    No     -93.00     598       
373    No     -344.00    88        
374    No     -352.00    94        
375    No     -97.00     598       
376    No     -402.00    112       
377    No     -451.00    244       
378    No     -451.00    502       
379    No     -392.00    46        
380    No     -352.00    97        
381    No     -396.00    91        
382    No     -451.00    298       
383    No     -404.00    286       
384    No     -400.00    391       
385    No     -397.00    52        
386    No     -426.00    52        
387    No     -315.00    43        
388    No     -442.00    49        
389    No     -304.00    88        
390    No     -401.00    49        
391    No     -408.00    43        
392    No     -434.00    271       
393    No     -391.00    52        
394    No     -434.00    160       
395    No     -370.00    88        
396    No     -518.00    538       
397    No     -337.00    70        
398    No     -320.00    97        
399    No     -351.00    70        
400    No     -480.00    553       
401    No     -354.00    43        
402    No     -419.00    226       
403    No     -328.00    82        
404    No     -337.00    304       
405    No     -319.00    67        
406    No     -394.00    46        
407    No     -366.00    184       
408    No     -431.00    274       
409    No     -363.00    151       
410    No     -367.00    49        
411    No     -390.00    253       
412    No     -396.00    52        
413    No     -323.00    157       
414    No     -32.00     598       
415    No     -78.00     598       
416    No     -382.00    115       
417    No     -348.00    67        
418    No     -67.00     598       
419    No     -401.00    49        
420    No     -492.00    265       
421    No     -420.00    46        
422    No     -54.00     598       
423    No     -447.00    235       
424    No     -446.00    298       
425    No     -422.00    151       
426    No     -423.00    67        
427    No     -485.00    415       
428    No     -43.00     598       
429    No     -288.00    49        
430    No     -537.00    538       
431    No     -413.00    214       
432    No     -448.00    97        
433    No     -578.00    568       
434    No     -365.00    106       
435    No     -374.00    43        
436    No     -335.00    181       
437    No     -558.00    571       
438    No     -366.00    97        
439    No     -376.00    49        
440    No     -119.00    598       
441    No     -401.00    100       
442    No     -385.00    91        
443    No     -450.00    385       
