======================================================================
DQN Agent Evaluation Results
======================================================================
Generated: 2025-12-08 14:43:44
======================================================================

SUMMARY STATISTICS
----------------------------------------------------------------------
Agent Type: dqn
Games Played: 1000
Wins: 653
Win Rate: 65.30%
Evaluation Runtime: 303.89 seconds (5.06 minutes)
Model: dqn_ep2000_rs_on.pt

HYPERPARAMETERS / CONFIGURATION
----------------------------------------------------------------------
gamma: 0.9
learning_rate: 0.001
epsilon: 1.0
decay_rate: 0.99995
min_epsilon: 0.05
batch_size: 64
discount_factor: 0.9
target_sync_steps: 1000
replay_memory_size: 50000
layout: mediumClassic
num_ghosts: 2
ghost_type: RandomGhost
max_steps: 1000
random_rewards: False
use_reward_shaping: True

SCORE STATISTICS
----------------------------------------------------------------------
Average Score: 7196.86
Std Dev Score: 5026.46
Min Score: -436.00
Max Score: 11437.00
Median Score: 10697.50

EPISODE LENGTH STATISTICS
----------------------------------------------------------------------
Average Length: 1175.01 moves
Min Length: 85 moves
Max Length: 2998 moves
Median Length: 1063 moves

INDIVIDUAL GAME RESULTS
----------------------------------------------------------------------
Game   Win    Score      Length    
----------------------------------------------------------------------
1      Yes    10981.00   1165      
2      Yes    10596.00   1720      
3      Yes    11075.00   883       
4      No     396.00     1362      
5      Yes    10994.00   1126      
6      Yes    10735.00   1903      
7      Yes    11016.00   1060      
8      Yes    10841.00   985       
9      No     560.00     2998      
10     Yes    11021.00   1045      
11     Yes    10873.00   889       
12     Yes    10631.00   1615      
13     Yes    10989.00   1141      
14     Yes    11197.00   1117      
15     No     508.00     1625      
16     Yes    11007.00   1087      
17     Yes    10971.00   1195      
18     No     418.00     606       
19     Yes    10849.00   961       
20     No     353.00     859       
21     Yes    11228.00   1024      
22     Yes    11067.00   907       
23     Yes    10964.00   1216      
24     Yes    10853.00   949       
25     Yes    10988.00   1144      
26     No     229.00     753       
27     No     481.00     865       
28     Yes    10491.00   2035      
29     Yes    11024.00   1036      
30     Yes    11064.00   916       
31     Yes    10885.00   853       
32     Yes    10819.00   1051      
33     Yes    10523.00   1339      
34     Yes    11396.00   1120      
35     Yes    11104.00   1396      
36     Yes    10374.00   1786      
37     Yes    10967.00   1207      
38     Yes    10853.00   949       
39     No     103.00     2871      
40     Yes    11283.00   859       
41     Yes    10657.00   1537      
42     Yes    10695.00   1423      
43     No     648.00     756       
44     Yes    10625.00   1033      
45     Yes    10947.00   1267      
46     No     427.00     579       
47     Yes    10531.00   1315      
48     No     398.00     1384      
49     No     447.00     608       
50     Yes    11280.00   868       
51     No     356.00     611       
52     Yes    10871.00   895       
53     Yes    11184.00   1156      
54     Yes    10858.00   934       
55     Yes    11022.00   1042      
56     No     -188.00    262       
57     Yes    10998.00   1114      
58     No     360.00     2998      
59     No     382.00     474       
60     Yes    10848.00   964       
61     Yes    10842.00   1582      
62     Yes    11095.00   823       
63     Yes    10826.00   1030      
64     Yes    10976.00   1180      
65     No     -134.00    2380      
66     No     -377.00    109       
67     No     184.00     1186      
68     No     214.00     558       
69     Yes    10859.00   931       
70     No     494.00     766       
