======================================================================
DQN Agent Evaluation Results
======================================================================
Generated: 2025-12-08 14:57:21
======================================================================

SUMMARY STATISTICS
----------------------------------------------------------------------
Agent Type: dqn
Games Played: 1000
Wins: 114
Win Rate: 11.40%
Evaluation Runtime: 462.75 seconds (7.71 minutes)
Model: dqn_nrs_2k.pt

HYPERPARAMETERS / CONFIGURATION
----------------------------------------------------------------------
gamma: 0.9
learning_rate: 0.001
epsilon: 1.0
decay_rate: 0.99995
min_epsilon: 0.05
batch_size: 64
discount_factor: 0.9
target_sync_steps: 1000
replay_memory_size: 50000
layout: mediumClassic
num_ghosts: 2
ghost_type: RandomGhost
max_steps: 1000
random_rewards: False
use_reward_shaping: True

SCORE STATISTICS
----------------------------------------------------------------------
Average Score: 1298.36
Std Dev Score: 3350.45
Min Score: -671.00
Max Score: 11328.00
Median Score: 153.00

EPISODE LENGTH STATISTICS
----------------------------------------------------------------------
Average Length: 1823.26 moves
Min Length: 88 moves
Max Length: 2998 moves
Median Length: 1710 moves

INDIVIDUAL GAME RESULTS
----------------------------------------------------------------------
Game   Win    Score      Length    
----------------------------------------------------------------------
1      No     220.00     1500      
2      No     -222.00    2524      
3      No     -252.00    335       
4      No     -112.00    2104      
5      No     228.00     1415      
6      No     245.00     1783      
7      No     362.00     623       
8      No     132.00     414       
9      No     150.00     2998      
10     No     -162.00    365       
11     No     525.00     823       
12     No     244.00     617       
13     No     -70.00     2998      
14     No     160.00     2998      
15     No     440.00     2998      
16     No     487.00     668       
17     No     -120.00    209       
18     No     484.00     677       
19     No     -40.00     2998      
20     Yes    10409.00   1681      
21     No     558.00     845       
22     No     -197.00    1581      
23     No     20.00      2998      
24     No     176.00     1720      
25     No     262.00     564       
26     No     270.00     630       
27     No     -346.00    2356      
28     No     -70.00     2998      
29     No     90.00      2998      
30     No     150.00     2998      
31     No     -403.00    2977      
32     No     41.00      1797      
33     No     360.00     2998      
34     No     -120.00    2998      
35     No     520.00     2998      
36     No     40.00      2998      
37     Yes    10400.00   2908      
38     No     204.00     706       
39     No     530.00     2998      
40     No     234.00     1456      
41     No     560.00     2998      
42     Yes    10326.00   1930      
43     No     300.00     2998      
44     No     330.00     2998      
45     No     430.00     2998      
46     No     -90.00     2998      
47     No     -230.00    1648      
48     No     94.00      2238      
49     Yes    10684.00   2056      
50     No     -184.00    2531      
51     No     350.00     2998      
52     Yes    10527.00   2527      
53     No     -174.00    1870      
54     No     139.00     1712      
55     No     -304.00    1840      
56     No     -64.00     1480      
57     No     -412.00    216       
58     Yes    10316.00   2560      
59     No     340.00     2998      
60     No     -80.00     2998      
61     No     -422.00    2976      
62     No     -433.00    2257      
63     No     322.00     2183      
64     No     215.00     1933      
65     No     -90.00     2998      
66     No     118.00     1594      
67     No     123.00     1009      
68     No     158.00     1624      
69     No     -222.00    2166      
70     No     113.00     1579      
71     No     245.00     1214      
72     No     -50.00     2998      
73     No     244.00     1426      
74     No     -106.00    1516      
75     No     -190.00    2998      
76     No     560.00     2998      
77     No     90.00      1679      
78     No     -40.00     2998      
79     No     488.00     546       
80     No     138.00     456       
81     Yes    10555.00   1243      
82     No     150.00     2998      
83     No     20.00      658       
84     No     330.00     2998      
85     No     191.00     1886      
86     No     584.00     798       
87     No     150.00     2998      
88     No     118.00     1565      
89     No     150.00     2998      
90     No     330.00     2998      
91     No     110.00     2998      
92     No     -238.00    504       
93     No     384.00     708       
94     No     294.00     467       
95     No     160.00     2998      
96     No     160.00     2998      
97     No     60.00      2998      
98     No     -50.00     2998      
99     No     193.00     380       
100    No     136.00     671       
101    No     178.00     516       
102    Yes    10705.00   1393      
103    No     118.00     2226      
104    No     -99.00     1975      
105    No     -420.00    300       
106    No     -671.00    2851      
107    No     176.00     642       
108    No     82.00      1492      
109    No     -116.00    2896      
110    No     -136.00    1518      
111    No     146.00     551       
112    No     40.00      2998      
113    No     296.00     580       
114    No     558.00     2044      
115    No     -170.00    2998      
116    No     220.00     2998      
117    No     -110.00    2998      
118    No     560.00     2998      
119    No     164.00     1397      
120    No     -70.00     2998      
121    No     -108.00    204       
122    No     -121.00    212       
123    Yes    10651.00   1555      
124    No     -374.00    2682      
125    No     -34.00     2680      
126    No     488.00     695       
127    No     176.00     941       
128    No     110.00     2998      
129    No     -140.00    2998      
130    No     -312.00    2826      
131    No     186.00     1991      
132    No     220.00     2998      
133    No     502.00     653       
134    No     243.00     1881      
135    No     196.00     1302      
136    No     -140.00    2398      
137    No     -214.00    1960      
138    No     217.00     699       
139    No     290.00     869       
140    No     140.00     2998      
141    No     -40.00     2998      
142    No     148.00     1534      
143    No     150.00     629       
144    No     -40.00     2998      
145    No     -120.00    2998      
146    No     26.00      1482      
147    No     230.00     2998      
148    No     156.00     942       
149    Yes    10592.00   2332      
150    Yes    10301.00   2005      
151    No     420.00     870       
152    No     340.00     2998      
153    Yes    10264.00   2716      
154    No     237.00     817       
155    No     -122.00    186       
