======================================================================
DQN Agent Evaluation Results
======================================================================
Generated: 2025-12-08 15:19:40
======================================================================

SUMMARY STATISTICS
----------------------------------------------------------------------
Agent Type: dqn
Games Played: 1000
Wins: 630
Win Rate: 63.00%
Evaluation Runtime: 237.75 seconds (3.96 minutes)
Model: dqn_rs_10k.pt

HYPERPARAMETERS / CONFIGURATION
----------------------------------------------------------------------
gamma: 0.9
learning_rate: 0.001
epsilon: 1.0
decay_rate: 0.99995
min_epsilon: 0.05
batch_size: 64
discount_factor: 0.9
target_sync_steps: 1000
replay_memory_size: 50000
layout: mediumClassic
num_ghosts: 2
ghost_type: RandomGhost
max_steps: 1000
random_rewards: False
use_reward_shaping: True

SCORE STATISTICS
----------------------------------------------------------------------
Average Score: 6948.01
Std Dev Score: 5159.27
Min Score: -412.00
Max Score: 11495.00
Median Score: 10749.50

EPISODE LENGTH STATISTICS
----------------------------------------------------------------------
Average Length: 1034.59 moves
Min Length: 64 moves
Max Length: 2998 moves
Median Length: 982 moves

INDIVIDUAL GAME RESULTS
----------------------------------------------------------------------
Game   Win    Score      Length    
----------------------------------------------------------------------
1      No     172.00     714       
2      No     574.00     858       
3      Yes    10852.00   952       
4      Yes    11011.00   1075      
5      Yes    10830.00   1018      
6      Yes    10598.00   1114      
7      No     388.00     1085      
8      Yes    11210.00   1078      
9      Yes    10852.00   952       
10     No     -261.00    271       
11     Yes    10495.00   1423      
12     Yes    10843.00   979       
13     No     242.00     263       
14     Yes    10858.00   934       
15     Yes    11067.00   1507      
16     No     270.00     839       
17     No     288.00     606       
18     No     175.00     854       
19     Yes    11298.00   814       
20     No     512.00     1012      
21     No     -306.00    196       
22     Yes    10776.00   1780      
23     Yes    11222.00   1042      
24     No     664.00     617       
25     No     133.00     499       
26     No     322.00     1012      
27     No     -232.00    244       
28     Yes    10764.00   1216      
29     Yes    10473.00   1489      
30     Yes    11064.00   916       
31     No     246.00     281       
32     Yes    10907.00   787       
33     Yes    10411.00   2875      
34     Yes    10969.00   1201      
35     Yes    10834.00   1006      
36     No     354.00     527       
37     Yes    10324.00   1936      
38     Yes    11291.00   835       
39     Yes    11275.00   883       
40     No     347.00     757       
41     Yes    11223.00   1039      
42     No     182.00     714       
43     Yes    10781.00   1165      
44     No     494.00     856       
45     No     656.00     641       
46     Yes    11039.00   991       
47     Yes    11042.00   982       
48     Yes    10859.00   1531      
49     Yes    10912.00   1372      
50     Yes    11052.00   952       
51     No     193.00     649       
52     Yes    11199.00   1111      
53     Yes    10656.00   940       
54     Yes    10739.00   1291      
55     Yes    10525.00   1933      
56     No     216.00     670       
57     Yes    10971.00   1195      
58     Yes    11074.00   886       
59     Yes    10718.00   1354      
60     Yes    10848.00   964       
61     No     -243.00    277       
62     Yes    10833.00   1009      
63     Yes    11460.00   928       
64     Yes    10879.00   871       
65     Yes    10955.00   1243      
66     No     400.00     780       
67     Yes    10745.00   1273      
68     Yes    11062.00   922       
69     No     158.00     544       
70     Yes    11190.00   1138      
71     No     275.00     704       
72     No     -40.00     2998      
73     Yes    10745.00   1873      
74     Yes    10889.00   841       
75     Yes    10535.00   1303      
76     Yes    11073.00   889       
77     Yes    10749.00   1261      
78     Yes    10814.00   1066      
79     No     -32.00     724       
80     Yes    11047.00   967       
81     No     646.00     1240      
82     Yes    10816.00   1060      
83     Yes    10683.00   1459      
84     No     578.00     845       
85     No     684.00     888       
86     Yes    11063.00   919       
87     Yes    10803.00   1099      
88     Yes    10408.00   1684      
89     No     -252.00    184       
90     Yes    10623.00   1039      
91     Yes    10643.00   1579      
92     Yes    11023.00   1039      
93     Yes    11050.00   958       
94     No     72.00      952       
95     Yes    10816.00   1060      
96     Yes    10795.00   1123      
97     Yes    10488.00   2044      
98     Yes    10982.00   1162      
99     Yes    10620.00   1648      
100    No     130.00     328       
101    No     282.00     834       
102    Yes    10970.00   1198      
103    Yes    10840.00   988       
104    Yes    10830.00   1018      
105    No     -127.00    349       
