======================================================================
DQN Agent Evaluation Results
======================================================================
Generated: 2025-12-10 09:20:17
======================================================================

SUMMARY STATISTICS
----------------------------------------------------------------------
Agent Type: dqn
Games Played: 1000
Wins: 364
Win Rate: 36.40%
Evaluation Runtime: 305.58 seconds (5.09 minutes)
Model: dqn_nors_20k.pt

HYPERPARAMETERS / CONFIGURATION
----------------------------------------------------------------------
gamma: 0.9
learning_rate: 0.001
epsilon: 1.0
decay_rate: 0.99995
min_epsilon: 0.05
batch_size: 64
discount_factor: 0.9
target_sync_steps: 1000
replay_memory_size: 50000
layout: mediumClassic
num_ghosts: 2
ghost_type: RandomGhost
max_steps: 1000
random_rewards: False
use_reward_shaping: True

SCORE STATISTICS
----------------------------------------------------------------------
Average Score: 4109.46
Std Dev Score: 5096.00
Min Score: -570.00
Max Score: 11414.00
Median Score: 500.00

EPISODE LENGTH STATISTICS
----------------------------------------------------------------------
Average Length: 1332.69 moves
Min Length: 70 moves
Max Length: 2998 moves
Median Length: 1092 moves

INDIVIDUAL GAME RESULTS
----------------------------------------------------------------------
Game   Win    Score      Length    
----------------------------------------------------------------------
1      No     360.00     2998      
2      No     84.00      2867      
3      No     558.00     904       
4      No     74.00      468       
5      No     133.00     1579      
6      Yes    11043.00   979       
7      No     508.00     576       
8      No     -397.00    139       
9      Yes    10858.00   1534      
10     Yes    10971.00   1195      
11     No     233.00     1219      
12     Yes    10872.00   892       
13     No     -429.00    115       
14     No     182.00     563       
15     Yes    10472.00   2692      
16     Yes    10839.00   991       
17     Yes    10829.00   1621      
18     No     292.00     653       
19     No     226.00     850       
20     No     482.00     1012      
21     Yes    11012.00   1072      
22     Yes    10642.00   982       
23     Yes    10391.00   1735      
24     No     481.00     985       
25     No     276.00     1720      
26     Yes    10820.00   1048      
27     No     248.00     1776      
28     No     740.00     2998      
29     No     560.00     2998      
30     No     560.00     2998      
31     No     112.00     1552      
32     No     4.00       617       
33     Yes    11064.00   916       
34     No     530.00     2998      
35     Yes    10744.00   1876      
36     No     239.00     843       
37     No     160.00     2998      
38     No     468.00     516       
39     Yes    10984.00   1156      
40     Yes    11004.00   1096      
41     No     34.00      347       
42     Yes    10108.00   2584      
