======================================================================
DQN Agent Evaluation Results
======================================================================
Generated: 2025-11-28 21:58:50
======================================================================

SUMMARY STATISTICS
----------------------------------------------------------------------
Games Played: 5000
Wins: 0
Win Rate: 0.00%
Evaluation Runtime: 1056.66 seconds (17.61 minutes)

SCORE STATISTICS
----------------------------------------------------------------------
Average Score: -410.00
Std Dev: 81.96
Min Score: -760.00
Max Score: -260.00
Median Score: -379.00

EPISODE LENGTH STATISTICS
----------------------------------------------------------------------
Average Length: 390.86 moves
Min Length: 64 moves
Max Length: 1498 moves
Median Length: 295 moves

INDIVIDUAL GAME RESULTS
----------------------------------------------------------------------
Game   Win    Score      Length    
----------------------------------------------------------------------
1      No     -260.00    1498      
2      No     -382.00    364       
3      No     -352.00    274       
4      No     -483.00    667       
5      No     -325.00    163       
6      No     -407.00    439       
7      No     -368.00    322       
8      No     -526.00    796       
9      No     -344.00    250       
10     No     -327.00    199       
11     No     -470.00    628       
12     No     -332.00    214       
13     No     -453.00    577       
14     No     -334.00    220       
15     No     -428.00    502       
16     No     -430.00    508       
17     No     -412.00    64        
18     No     -260.00    1498      
19     No     -412.00    64        
20     No     -380.00    88        
21     No     -452.00    574       
22     No     -338.00    232       
23     No     -380.00    178       
24     No     -615.00    1063      
25     No     -427.00    499       
26     No     -591.00    991       
27     No     -389.00    385       
28     No     -380.00    358       
29     No     -387.00    379       
30     No     -359.00    115       
31     No     -357.00    109       
32     No     -371.00    91        
33     No     -576.00    946       
34     No     -437.00    529       
35     No     -483.00    667       
36     No     -346.00    256       
37     No     -372.00    94        
38     No     -333.00    217       
39     No     -512.00    754       
40     No     -648.00    1162      
41     No     -409.00    445       
42     No     -441.00    541       
43     No     -331.00    211       
44     No     -556.00    886       
45     No     -408.00    442       
46     No     -367.00    139       
47     No     -531.00    811       
48     No     -368.00    172       
49     No     -582.00    964       
50     No     -378.00    352       
51     No     -347.00    259       
52     No     -372.00    94        
53     No     -372.00    94        
54     No     -387.00    229       
55     No     -380.00    88        
56     No     -384.00    190       
57     No     -363.00    97        
58     No     -499.00    715       
59     No     -495.00    703       
60     No     -376.00    166       
61     No     -368.00    322       
62     No     -480.00    658       
63     No     -370.00    148       
64     No     -445.00    553       
65     No     -362.00    304       
66     No     -371.00    91        
67     No     -463.00    607       
68     No     -496.00    706       
69     No     -497.00    709       
70     No     -364.00    130       
71     No     -361.00    211       
72     No     -402.00    424       
73     No     -412.00    64        
74     No     -371.00    151       
75     No     -371.00    91        
76     No     -483.00    667       
77     No     -511.00    751       
78     No     -343.00    247       
79     No     -374.00    340       
80     No     -347.00    259       
81     No     -406.00    436       
82     No     -412.00    64        
83     No     -372.00    94        
84     No     -422.00    484       
85     No     -362.00    304       
86     No     -413.00    457       
87     No     -377.00    169       
88     No     -398.00    412       
89     No     -363.00    127       
90     No     -370.00    328       
91     No     -412.00    64        
92     No     -363.00    97        
93     No     -427.00    499       
94     No     -368.00    322       
95     No     -360.00    148       
96     No     -376.00    346       
97     No     -469.00    625       
98     No     -363.00    127       
99     No     -402.00    424       
100    No     -326.00    166       
101    No     -412.00    64        
102    No     -453.00    577       
103    No     -400.00    238       
104    No     -380.00    88        
105    No     -411.00    451       
106    No     -367.00    139       
107    No     -352.00    274       
108    No     -357.00    289       
109    No     -424.00    310       
110    No     -356.00    106       
111    No     -331.00    211       
112    No     -416.00    466       
113    No     -364.00    220       
114    No     -392.00    394       
115    No     -380.00    88        
116    No     -423.00    487       
117    No     -629.00    1105      
118    No     -412.00    64        
119    No     -380.00    88        
120    No     -359.00    175       
121    No     -371.00    91        
122    No     -351.00    211       
123    No     -457.00    589       
124    No     -346.00    256       
125    No     -431.00    511       
126    No     -531.00    811       
127    No     -380.00    88        
128    No     -371.00    91        
129    No     -358.00    142       
130    No     -357.00    109       
131    No     -314.00    160       
132    No     -391.00    211       
133    No     -412.00    64        
134    No     -332.00    214       
135    No     -412.00    64        
136    No     -356.00    286       
137    No     -372.00    94        
138    No     -410.00    448       
139    No     -371.00    91        
140    No     -363.00    97        
141    No     -369.00    175       
142    No     -415.00    463       
143    No     -260.00    1498      
144    No     -371.00    331       
145    No     -359.00    115       
146    No     -488.00    682       
147    No     -397.00    409       
148    No     -375.00    343       
149    No     -403.00    247       
150    No     -427.00    499       
151    No     -326.00    196       
152    No     -321.00    181       
153    No     -380.00    88        
154    No     -344.00    250       
155    No     -402.00    424       
156    No     -405.00    253       
157    No     -407.00    439       
158    No     -363.00    187       
159    No     -314.00    160       
160    No     -372.00    154       
161    No     -412.00    64        
162    No     -370.00    298       
163    No     -407.00    439       
164    No     -358.00    262       
165    No     -325.00    163       
166    No     -379.00    355       
167    No     -468.00    622       
168    No     -352.00    154       
169    No     -363.00    187       
170    No     -332.00    214       
171    No     -373.00    187       
172    No     -363.00    277       
173    No     -380.00    358       
174    No     -388.00    382       
175    No     -407.00    439       
176    No     -343.00    247       
177    No     -483.00    667       
178    No     -367.00    139       
179    No     -369.00    325       
180    No     -345.00    223       
181    No     -384.00    370       
182    No     -370.00    208       
183    No     -329.00    205       
184    No     -637.00    1129      
185    No     -357.00    289       
186    No     -412.00    64        
187    No     -372.00    334       
188    No     -328.00    202       
189    No     -397.00    409       
190    No     -380.00    88        
191    No     -371.00    181       
192    No     -383.00    367       
193    No     -360.00    118       
194    No     -390.00    208       
195    No     -328.00    202       
196    No     -415.00    463       
197    No     -454.00    580       
198    No     -375.00    163       
199    No     -458.00    592       
200    No     -412.00    64        
201    No     -397.00    409       
202    No     -406.00    436       
203    No     -426.00    496       
204    No     -368.00    142       
205    No     -340.00    178       
206    No     -381.00    361       
207    No     -405.00    433       
208    No     -473.00    637       
209    No     -338.00    232       
210    No     -629.00    1105      
211    No     -450.00    568       
212    No     -361.00    121       
213    No     -396.00    406       
214    No     -360.00    298       
215    No     -448.00    562       
216    No     -325.00    193       
217    No     -531.00    811       
218    No     -412.00    64        
219    No     -374.00    340       
220    No     -367.00    139       
221    No     -366.00    166       
222    No     -377.00    169       
223    No     -368.00    172       
224    No     -473.00    637       
225    No     -364.00    100       
226    No     -369.00    145       
227    No     -395.00    403       
228    No     -461.00    601       
229    No     -487.00    679       
230    No     -439.00    535       
231    No     -487.00    679       
232    No     -409.00    445       
233    No     -540.00    838       
234    No     -451.00    571       
235    No     -524.00    790       
236    No     -335.00    223       
237    No     -356.00    106       
238    No     -351.00    271       
239    No     -396.00    256       
240    No     -260.00    1498      
241    No     -598.00    1012      
242    No     -519.00    775       
243    No     -380.00    88        
244    No     -468.00    622       
245    No     -369.00    175       
246    No     -351.00    271       
247    No     -381.00    361       
248    No     -659.00    1195      
249    No     -402.00    424       
250    No     -364.00    100       
251    No     -364.00    100       
252    No     -574.00    940       
253    No     -444.00    550       
254    No     -362.00    304       
255    No     -446.00    556       
256    No     -326.00    196       
257    No     -493.00    697       
258    No     -562.00    904       
259    No     -359.00    295       
260    No     -377.00    229       
261    No     -592.00    994       
262    No     -394.00    220       
263    No     -358.00    142       
264    No     -371.00    91        
265    No     -352.00    274       
266    No     -389.00    295       
267    No     -390.00    388       
268    No     -380.00    358       
269    No     -521.00    781       
270    No     -500.00    718       
271    No     -380.00    88        
272    No     -412.00    64        
273    No     -385.00    373       
274    No     -369.00    325       
275    No     -439.00    535       
276    No     -380.00    88        
277    No     -544.00    850       
278    No     -411.00    451       
279    No     -393.00    397       
280    No     -337.00    229       
281    No     -344.00    250       
282    No     -423.00    487       
283    No     -362.00    124       
284    No     -566.00    916       
285    No     -381.00    241       
286    No     -463.00    607       
287    No     -371.00    91        
288    No     -365.00    103       
289    No     -407.00    439       
290    No     -343.00    247       
291    No     -507.00    739       
292    No     -353.00    277       
293    No     -387.00    379       
294    No     -391.00    391       
295    No     -529.00    805       
296    No     -437.00    529       
297    No     -608.00    1042      
298    No     -351.00    271       
299    No     -405.00    433       
300    No     -531.00    811       
301    No     -341.00    241       
302    No     -463.00    607       
303    No     -356.00    286       
304    No     -341.00    241       
305    No     -403.00    427       
306    No     -359.00    115       
307    No     -513.00    757       
308    No     -372.00    214       
309    No     -540.00    838       
310    No     -443.00    547       
311    No     -367.00    139       
312    No     -356.00    166       
313    No     -360.00    298       
314    No     -364.00    130       
315    No     -426.00    496       
316    No     -413.00    457       
317    No     -441.00    541       
318    No     -668.00    1222      
319    No     -346.00    166       
320    No     -362.00    124       
321    No     -367.00    319       
322    No     -364.00    100       
323    No     -340.00    238       
324    No     -536.00    826       
325    No     -574.00    940       
326    No     -328.00    202       
327    No     -435.00    523       
328    No     -486.00    676       
329    No     -412.00    64        
330    No     -360.00    118       
331    No     -361.00    301       
332    No     -351.00    271       
333    No     -379.00    205       
334    No     -678.00    1252      
335    No     -447.00    559       
336    No     -530.00    808       
337    No     -432.00    514       
338    No     -579.00    955       
339    No     -371.00    91        
340    No     -371.00    91        
341    No     -358.00    112       
342    No     -357.00    109       
343    No     -376.00    346       
344    No     -355.00    163       
345    No     -430.00    508       
346    No     -416.00    466       
347    No     -501.00    721       
348    No     -400.00    418       
349    No     -702.00    1324      
350    No     -377.00    229       
351    No     -412.00    454       
352    No     -413.00    457       
353    No     -368.00    232       
354    No     -363.00    97        
355    No     -364.00    130       
356    No     -444.00    550       
357    No     -532.00    814       
358    No     -535.00    823       
359    No     -428.00    502       
360    No     -362.00    124       
361    No     -418.00    472       
362    No     -347.00    259       
363    No     -454.00    580       
364    No     -368.00    142       
365    No     -431.00    511       
366    No     -420.00    478       
367    No     -372.00    94        
368    No     -425.00    493       
369    No     -371.00    151       
370    No     -516.00    766       
371    No     -358.00    292       
372    No     -364.00    100       
373    No     -373.00    187       
374    No     -371.00    91        
375    No     -360.00    298       
376    No     -559.00    895       
377    No     -370.00    148       
378    No     -437.00    529       
379    No     -383.00    367       
380    No     -368.00    142       
381    No     -440.00    538       
382    No     -371.00    91        
383    No     -592.00    994       
384    No     -612.00    1054      
385    No     -359.00    115       
386    No     -343.00    247       
387    No     -347.00    259       
388    No     -380.00    88        
389    No     -469.00    625       
390    No     -363.00    127       
391    No     -359.00    115       
392    No     -361.00    301       
393    No     -389.00    235       
394    No     -504.00    730       
395    No     -505.00    733       
396    No     -530.00    808       
397    No     -358.00    142       
398    No     -356.00    106       
399    No     -358.00    142       
400    No     -260.00    1498      
401    No     -325.00    193       
402    No     -375.00    163       
403    No     -377.00    349       
404    No     -489.00    685       
405    No     -371.00    331       
406    No     -415.00    463       
407    No     -369.00    325       
408    No     -376.00    346       
409    No     -518.00    772       
410    No     -341.00    241       
411    No     -423.00    487       
412    No     -514.00    760       
413    No     -343.00    247       
414    No     -412.00    64        
415    No     -402.00    424       
416    No     -359.00    115       
417    No     -324.00    190       
418    No     -380.00    88        
419    No     -404.00    430       
420    No     -415.00    463       
421    No     -510.00    748       
422    No     -351.00    271       
423    No     -365.00    313       
424    No     -380.00    88        
425    No     -412.00    64        
426    No     -415.00    463       
427    No     -325.00    163       
428    No     -367.00    319       
429    No     -360.00    268       
430    No     -375.00    343       
431    No     -529.00    805       
432    No     -374.00    340       
433    No     -373.00    187       
434    No     -371.00    91        
435    No     -614.00    1060      
436    No     -389.00    265       
437    No     -468.00    622       
438    No     -372.00    154       
439    No     -546.00    856       
440    No     -563.00    907       
441    No     -334.00    190       
442    No     -328.00    202       
443    No     -434.00    520       
444    No     -439.00    535       
445    No     -748.00    1462      
446    No     -374.00    220       
447    No     -488.00    682       
448    No     -357.00    169       
449    No     -416.00    466       
450    No     -482.00    664       
451    No     -390.00    388       
452    No     -501.00    721       
453    No     -383.00    367       
454    No     -410.00    448       
455    No     -616.00    1066      
456    No     -318.00    172       
457    No     -412.00    64        
458    No     -395.00    403       
459    No     -569.00    925       
460    No     -371.00    91        
461    No     -483.00    667       
462    No     -374.00    340       
463    No     -341.00    241       
464    No     -610.00    1048      
465    No     -372.00    94        
466    No     -443.00    547       
467    No     -387.00    319       
468    No     -377.00    349       
469    No     -659.00    1195      
470    No     -412.00    64        
471    No     -465.00    613       
472    No     -391.00    391       
473    No     -335.00    223       
474    No     -460.00    598       
475    No     -352.00    274       
476    No     -335.00    193       
477    No     -371.00    91        
478    No     -359.00    115       
479    No     -358.00    142       
480    No     -384.00    370       
481    No     -442.00    544       
482    No     -329.00    205       
483    No     -390.00    388       
484    No     -488.00    682       
485    No     -440.00    538       
486    No     -372.00    334       
487    No     -363.00    127       
488    No     -353.00    157       
489    No     -382.00    184       
490    No     -368.00    172       
491    No     -412.00    64        
492    No     -605.00    1033      
493    No     -625.00    1093      
494    No     -260.00    1498      
495    No     -528.00    802       
496    No     -346.00    166       
497    No     -356.00    106       
498    No     -393.00    397       
499    No     -371.00    91        
500    No     -502.00    724       
501    No     -373.00    157       
502    No     -540.00    838       
503    No     -429.00    325       
504    No     -544.00    850       
505    No     -412.00    64        
506    No     -407.00    439       
507    No     -398.00    412       
508    No     -260.00    1498      
509    No     -387.00    379       
510    No     -473.00    637       
511    No     -422.00    484       
512    No     -343.00    247       
513    No     -723.00    1387      
514    No     -535.00    823       
515    No     -458.00    592       
516    No     -469.00    625       
517    No     -377.00    229       
518    No     -359.00    295       
519    No     -375.00    163       
520    No     -593.00    997       
521    No     -384.00    280       
522    No     -340.00    238       
523    No     -360.00    118       
524    No     -365.00    103       
525    No     -412.00    64        
526    No     -381.00    361       
527    No     -381.00    361       
528    No     -356.00    106       
529    No     -371.00    91        
530    No     -374.00    340       
531    No     -483.00    667       
532    No     -412.00    64        
533    No     -412.00    64        
534    No     -440.00    538       
535    No     -360.00    118       
536    No     -359.00    115       
537    No     -260.00    1498      
538    No     -362.00    304       
539    No     -318.00    172       
540    No     -349.00    265       
541    No     -455.00    583       
542    No     -358.00    142       
543    No     -419.00    475       
544    No     -404.00    430       
545    No     -668.00    1222      
546    No     -364.00    100       
547    No     -318.00    172       
548    No     -389.00    385       
549    No     -417.00    469       
550    No     -609.00    1045      
551    No     -711.00    1351      
552    No     -367.00    139       
553    No     -383.00    187       
554    No     -746.00    1456      
555    No     -523.00    787       
556    No     -382.00    364       
557    No     -362.00    154       
558    No     -560.00    898       
559    No     -347.00    259       
560    No     -363.00    307       
561    No     -409.00    445       
562    No     -668.00    1222      
563    No     -391.00    211       
564    No     -379.00    175       
565    No     -377.00    349       
566    No     -328.00    202       
567    No     -358.00    292       
568    No     -368.00    142       
569    No     -387.00    199       
570    No     -372.00    94        
571    No     -442.00    544       
572    No     -405.00    433       
573    No     -343.00    247       
574    No     -360.00    118       
575    No     -637.00    1129      
576    No     -385.00    373       
577    No     -395.00    313       
578    No     -365.00    103       
579    No     -409.00    445       
580    No     -375.00    343       
581    No     -355.00    283       
582    No     -354.00    190       
583    No     -541.00    841       
584    No     -628.00    1102      
585    No     -335.00    223       
586    No     -501.00    721       
587    No     -506.00    736       
588    No     -331.00    211       
589    No     -368.00    322       
590    No     -378.00    262       
591    No     -405.00    313       
592    No     -372.00    334       
593    No     -357.00    199       
594    No     -382.00    364       
595    No     -362.00    124       
596    No     -604.00    1030      
597    No     -368.00    322       
598    No     -390.00    388       
599    No     -444.00    550       
600    No     -405.00    433       
601    No     -338.00    232       
602    No     -441.00    541       
603    No     -357.00    109       
604    No     -391.00    391       
605    No     -627.00    1099      
606    No     -407.00    439       
607    No     -391.00    391       
608    No     -735.00    1423      
609    No     -407.00    439       
610    No     -364.00    310       
611    No     -414.00    460       
612    No     -340.00    238       
613    No     -403.00    427       
614    No     -507.00    739       
615    No     -318.00    172       
616    No     -358.00    142       
617    No     -479.00    655       
618    No     -325.00    163       
619    No     -628.00    1102      
620    No     -374.00    340       
621    No     -341.00    241       
622    No     -322.00    154       
623    No     -418.00    472       
624    No     -327.00    169       
625    No     -351.00    211       
626    No     -352.00    274       
627    No     -371.00    91        
628    No     -401.00    421       
629    No     -355.00    163       
630    No     -358.00    142       
631    No     -440.00    538       
632    No     -412.00    64        
633    No     -392.00    394       
634    No     -452.00    574       
635    No     -364.00    130       
636    No     -539.00    835       
637    No     -371.00    151       
638    No     -668.00    1222      
639    No     -386.00    196       
640    No     -375.00    163       
641    No     -371.00    91        
642    No     -375.00    163       
643    No     -518.00    772       
644    No     -391.00    391       
645    No     -367.00    139       
646    No     -371.00    91        
647    No     -361.00    151       
648    No     -380.00    88        
649    No     -322.00    154       
650    No     -456.00    586       
651    No     -565.00    913       
652    No     -386.00    376       
653    No     -676.00    1246      
654    No     -359.00    115       
655    No     -369.00    235       
656    No     -559.00    895       
657    No     -376.00    196       
658    No     -482.00    664       
659    No     -391.00    241       
660    No     -454.00    580       
661    No     -412.00    64        
662    No     -411.00    271       
663    No     -384.00    190       
664    No     -384.00    190       
665    No     -390.00    268       
666    No     -421.00    481       
667    No     -342.00    244       
668    No     -676.00    1246      
669    No     -343.00    247       
670    No     -655.00    1183      
671    No     -480.00    658       
672    No     -412.00    64        
673    No     -380.00    88        
674    No     -664.00    1210      
675    No     -354.00    280       
676    No     -346.00    166       
677    No     -364.00    310       
678    No     -363.00    277       
679    No     -337.00    199       
680    No     -377.00    349       
681    No     -491.00    691       
682    No     -456.00    586       
683    No     -392.00    394       
684    No     -495.00    703       
685    No     -468.00    622       
686    No     -364.00    100       
687    No     -414.00    460       
688    No     -371.00    91        
689    No     -546.00    856       
690    No     -357.00    109       
691    No     -359.00    295       
692    No     -382.00    184       
693    No     -412.00    454       
694    No     -355.00    283       
695    No     -575.00    943       
696    No     -372.00    334       
697    No     -687.00    1279      
698    No     -657.00    1189      
699    No     -339.00    235       
700    No     -543.00    847       
701    No     -355.00    283       
