======================================================================
DQN Agent Evaluation Results
======================================================================
Generated: 2025-12-01 14:00:13
======================================================================

SUMMARY STATISTICS
----------------------------------------------------------------------
Games Played: 20000
Wins: 4373
Win Rate: 21.87%
Evaluation Runtime: 2749.12 seconds (45.82 minutes)

SCORE STATISTICS
----------------------------------------------------------------------
Average Score: 894.80
Std Dev: 495.46
Min Score: -89.00
Max Score: 2012.00
Median Score: 872.00

EPISODE LENGTH STATISTICS
----------------------------------------------------------------------
Average Length: 594.71 moves
Min Length: 76 moves
Max Length: 2998 moves
Median Length: 598 moves

INDIVIDUAL GAME RESULTS
----------------------------------------------------------------------
Game   Win    Score      Length    
----------------------------------------------------------------------
1      No     1005.00    495       
2      No     624.00     558       
3      Yes    1320.00    1048      
4      Yes    1554.00    946       
5      No     682.00     594       
6      No     887.00     638       
7      Yes    1363.00    919       
8      No     181.00     235       
9      No     60.00      118       
10     Yes    1763.00    919       
11     No     1072.00    682       
12     No     915.00     435       
13     No     632.00     534       
14     No     922.00     803       
15     Yes    1348.00    964       
16     No     1102.00    832       
17     Yes    1603.00    799       
18     No     369.00     211       
19     No     791.00     987       
20     No     20.00      88        
21     Yes    1594.00    826       
22     No     941.00     686       
23     No     500.00     180       
24     No     998.00     576       
25     No     657.00     609       
26     No     994.00     497       
27     No     330.00     238       
28     No     938.00     756       
29     No     973.00     679       
30     No     580.00     570       
31     No     777.00     488       
32     Yes    1269.00    1201      
33     No     932.00     714       
34     No     866.00     552       
35     No     824.00     858       
36     Yes    1581.00    865       
37     Yes    1508.00    1084      
38     Yes    1799.00    811       
39     No     1105.00    823       
40     No     856.00     822       
41     No     1051.00    625       
42     Yes    1803.00    799       
43     No     434.00     316       
44     No     707.00     669       
45     No     1166.00    760       
46     No     20.00      88        
47     Yes    1610.00    778       
48     No     616.00     820       
49     No     553.00     530       
50     Yes    1743.00    979       
51     No     727.00     429       
52     No     736.00     671       
53     No     400.00     388       
54     No     1017.00    518       
55     No     682.00     473       
56     No     908.00     426       
57     No     20.00      88        
58     No     379.00     211       
59     No     694.00     648       
60     No     935.00     433       
61     No     386.00     220       
62     No     1128.00    934       
63     No     927.00     968       
64     Yes    1773.00    889       
65     No     946.00     370       
66     No     155.00     223       
67     No     719.00     362       
68     Yes    1373.00    1489      
69     No     898.00     665       
70     No     957.00     877       
71     No     426.00     310       
72     No     20.00      88        
73     No     7.00       217       
74     No     1113.00    650       
75     No     882.00     924       
76     No     849.00     482       
77     No     934.00     828       
78     No     169.00     211       
79     No     382.00     232       
80     Yes    1570.00    898       
81     No     99.00      211       
82     No     1062.00    653       
83     No     201.00     235       
84     Yes    1574.00    886       
85     No     248.00     214       
86     No     348.00     214       
87     Yes    1778.00    874       
88     Yes    1564.00    916       
89     Yes    1564.00    916       
90     No     1081.00    596       
91     No     959.00     481       
92     No     844.00     678       
93     No     395.00     253       
94     No     1028.00    786       
95     Yes    1518.00    1054      
96     No     1190.00    808       
97     No     890.00     868       
98     No     656.00     370       
99     No     386.00     220       
100    No     957.00     577       
101    Yes    1590.00    838       
102    No     397.00     278       
103    No     1122.00    894       
104    No     1167.00    787       
105    No     614.00     616       
106    No     559.00     541       
107    No     1112.00    712       
108    No     1037.00    578       
109    No     396.00     370       
110    No     1296.00    672       
111    No     179.00     211       
112    No     438.00     424       
113    Yes    1598.00    814       
114    No     419.00     241       
115    Yes    1784.00    856       
116    No     289.00     211       
117    No     917.00     699       
118    Yes    1358.00    934       
119    No     705.00     494       
120    Yes    1748.00    964       
121    Yes    1577.00    877       
122    No     1075.00    733       
123    No     665.00     375       
124    Yes    1781.00    865       
125    No     968.00     394       
126    Yes    1395.00    823       
127    No     148.00     214       
128    No     20.00      88        
129    No     49.00      211       
130    No     812.00     533       
131    No     1122.00    442       
132    No     916.00     760       
133    Yes    1533.00    1009      
134    No     656.00     610       
135    Yes    1379.00    871       
136    No     1141.00    715       
137    No     20.00      88        
138    No     945.00     914       
139    Yes    1569.00    901       
140    No     210.00     238       
141    No     1055.00    613       
142    No     1014.00    648       
143    No     896.00     732       
144    No     532.00     622       
145    No     554.00     228       
146    No     1144.00    946       
147    No     81.00      145       
148    No     1310.00    838       
149    No     356.00     250       
150    No     20.00      88        
151    No     1137.00    878       
152    No     1071.00    715       
153    No     878.00     755       
154    No     694.00     888       
155    Yes    1559.00    931       
156    No     1079.00    932       
157    No     633.00     561       
158    No     1079.00    633       
159    No     1064.00    798       
160    No     179.00     211       
161    Yes    1783.00    859       
162    No     725.00     435       
163    Yes    1568.00    904       
164    Yes    1769.00    901       
165    No     1106.00    1060      
166    Yes    1436.00    1300      
167    No     218.00     364       
168    No     734.00     406       
169    No     349.00     211       
170    No     149.00     211       
171    No     1209.00    541       
172    No     776.00     462       
173    Yes    1964.00    916       
174    No     868.00     336       
175    No     896.00     881       
176    No     788.00     424       
177    No     679.00     661       
178    No     917.00     369       
179    No     109.00     211       
180    No     680.00     598       
181    Yes    1746.00    970       
182    Yes    1560.00    928       
183    No     754.00     467       
184    Yes    1607.00    787       
185    No     410.00     238       
186    Yes    1767.00    907       
187    No     679.00     661       
188    No     20.00      88        
189    No     379.00     211       
190    No     528.00     395       
191    No     379.00     211       
192    No     1156.00    762       
193    No     450.00     360       
194    No     741.00     476       
195    Yes    1780.00    868       
196    Yes    1944.00    976       
197    Yes    1382.00    862       
198    No     -17.00     109       
199    No     991.00     416       
200    Yes    1560.00    928       
201    No     339.00     211       
202    No     858.00     724       
203    No     888.00     664       
204    No     849.00     602       
205    No     20.00      88        
206    Yes    1372.00    892       
207    No     351.00     266       
208    No     1108.00    664       
209    Yes    1382.00    862       
210    No     1321.00    685       
211    Yes    1594.00    826       
212    No     1106.00    1062      
213    No     796.00     640       
214    No     1099.00    1081      
215    No     1027.00    487       
216    No     179.00     211       
217    No     319.00     211       
218    Yes    1769.00    901       
219    No     428.00     274       
220    No     582.00     502       
221    No     706.00     370       
222    Yes    1794.00    826       
223    No     479.00     421       
224    No     571.00     656       
225    No     422.00     262       
226    Yes    1380.00    868       
227    No     305.00     194       
228    No     20.00      88        
229    Yes    1573.00    889       
230    Yes    1582.00    862       
231    No     1107.00    787       
232    No     1096.00    1090      
233    Yes    1546.00    970       
234    Yes    1595.00    823       
235    No     1138.00    666       
236    No     426.00     310       
237    Yes    1579.00    871       
238    No     1175.00    855       
239    No     1073.00    680       
240    Yes    1591.00    835       
241    No     949.00     543       
242    No     825.00     703       
243    No     1061.00    776       
244    No     980.00     600       
245    No     875.00     674       
246    No     965.00     883       
247    No     944.00     646       
248    No     931.00     655       
249    Yes    1794.00    826       
250    No     1289.00    721       
251    No     807.00     518       
252    No     153.00     289       
253    No     768.00     426       
254    Yes    1564.00    916       
255    No     818.00     574       
256    No     382.00     232       
257    Yes    1954.00    946       
258    No     884.00     738       
259    Yes    1587.00    847       
260    No     372.00     292       
261    Yes    1355.00    943       
262    Yes    1731.00    1015      
263    No     784.00     466       
264    No     668.00     365       
265    No     769.00     512       
266    No     -17.00     109       
267    No     1080.00    690       
268    No     630.00     478       
269    No     660.00     390       
270    No     766.00     492       
271    No     1117.00    789       
272    No     889.00     572       
273    Yes    1583.00    859       
274    Yes    1733.00    1009      
275    No     883.00     589       
276    No     917.00     698       
277    No     20.00      88        
278    No     495.00     403       
279    No     378.00     244       
280    No     911.00     595       
281    No     981.00     477       
282    No     1121.00    685       
283    No     20.00      88        
284    No     442.00     262       
285    Yes    1561.00    925       
286    No     940.00     689       
287    No     20.00      88        
288    Yes    1758.00    934       
289    No     276.00     220       
290    Yes    1772.00    892       
291    No     743.00     559       
292    No     1002.00    622       
293    No     139.00     211       
294    No     951.00     836       
295    No     817.00     578       
296    No     1015.00    464       
297    No     566.00     491       
298    No     794.00     468       
299    No     1045.00    644       
300    Yes    1585.00    853       
301    No     998.00     785       
302    No     933.00     770       
303    No     232.00     382       
304    No     669.00     362       
305    Yes    1573.00    889       
306    No     1201.00    685       
307    No     391.00     265       
308    No     320.00     238       
309    No     331.00     266       
310    No     1220.00    508       
311    No     1038.00    546       
312    No     193.00     259       
313    No     520.00     960       
314    No     1073.00    649       
315    Yes    1549.00    961       
316    No     990.00     690       
317    No     897.00     579       
318    No     279.00     211       
319    Yes    1610.00    778       
