======================================================================
DQN Agent Evaluation Results
======================================================================
Generated: 2025-12-03 13:18:17
======================================================================

SUMMARY STATISTICS
----------------------------------------------------------------------
Games Played: 20000
Wins: 13181
Win Rate: 65.91%
Evaluation Runtime: 5698.96 seconds (94.98 minutes)

SCORE STATISTICS
----------------------------------------------------------------------
Average Score: 1227.97
Std Dev: 448.74
Min Score: -87.00
Max Score: 2029.00
Median Score: 1366.00

EPISODE LENGTH STATISTICS
----------------------------------------------------------------------
Average Length: 858.21 moves
Min Length: 100 moves
Max Length: 2998 moves
Median Length: 853 moves

INDIVIDUAL GAME RESULTS
----------------------------------------------------------------------
Game   Win    Score      Length    
----------------------------------------------------------------------
1      Yes    1597.00    817       
2      Yes    1517.00    1057      
3      Yes    1193.00    829       
4      Yes    2005.00    793       
5      No     738.00     635       
6      Yes    1769.00    901       
7      Yes    1533.00    1009      
8      Yes    1719.00    1051      
9      No     944.00     676       
10     No     747.00     908       
11     Yes    1581.00    865       
12     No     1138.00    876       
13     Yes    1317.00    1057      
14     Yes    1597.00    817       
15     Yes    1553.00    949       
16     Yes    1797.00    817       
17     Yes    1617.00    757       
18     No     622.00     894       
19     No     728.00     814       
20     No     235.00     373       
21     No     888.00     636       
22     Yes    1369.00    901       
23     No     736.00     640       
24     No     794.00     1396      
25     Yes    1365.00    913       
26     No     908.00     784       
27     Yes    1361.00    925       
28     Yes    1301.00    1105      
29     No     439.00     571       
30     Yes    1561.00    1525      
31     No     1070.00    869       
32     No     800.00     1230      
33     No     916.00     641       
34     No     691.00     745       
35     Yes    1625.00    733       
36     No     850.00     1049      
37     No     1046.00    491       
38     Yes    1585.00    853       
39     Yes    1589.00    841       
40     Yes    1401.00    805       
41     Yes    1629.00    721       
42     No     392.00     532       
43     Yes    1196.00    820       
44     Yes    1476.00    1180      
45     Yes    1365.00    1513      
46     Yes    1201.00    805       
47     Yes    1601.00    805       
48     No     414.00     466       
49     Yes    1393.00    829       
50     No     736.00     820       
51     Yes    1393.00    829       
52     Yes    1553.00    949       
53     No     652.00     593       
54     Yes    1965.00    913       
55     Yes    1363.00    919       
56     Yes    1589.00    841       
57     No     476.00     311       
58     Yes    1209.00    781       
59     Yes    1589.00    841       
60     Yes    1377.00    877       
61     Yes    1461.00    1225      
62     Yes    1549.00    961       
63     Yes    1565.00    913       
64     Yes    1593.00    829       
65     Yes    1341.00    985       
66     Yes    1517.00    1057      
67     Yes    1761.00    925       
68     No     454.00     377       
69     Yes    1561.00    925       
70     Yes    1585.00    853       
71     No     1172.00    653       
72     Yes    1573.00    889       
73     Yes    1597.00    817       
74     No     646.00     281       
75     No     374.00     226       
76     Yes    1381.00    865       
77     No     1122.00    653       
78     Yes    1589.00    841       
79     No     937.00     848       
80     No     327.00     457       
81     No     820.00     479       
82     No     928.00     635       
83     No     650.00     389       
84     Yes    1413.00    769       
85     Yes    1565.00    913       
86     Yes    1373.00    889       
87     Yes    1141.00    985       
88     Yes    1545.00    973       
89     Yes    1301.00    1105      
90     Yes    1565.00    913       
91     No     902.00     923       
92     No     660.00     660       
93     Yes    1397.00    817       
94     Yes    1793.00    829       
95     No     764.00     888       
96     Yes    1237.00    1297      
97     Yes    1617.00    757       
98     Yes    1549.00    961       
99     Yes    1345.00    973       
100    No     828.00     486       
101    No     1095.00    675       
102    No     714.00     706       
103    Yes    1393.00    829       
104    Yes    1361.00    925       
105    No     398.00     1145      
106    Yes    1521.00    1045      
107    No     822.00     713       
108    Yes    1593.00    829       
109    No     618.00     514       
110    No     837.00     579       
111    No     534.00     737       
112    Yes    1581.00    865       
113    Yes    1565.00    913       
114    No     192.00     262       
115    No     591.00     565       
116    Yes    1733.00    1009      
117    Yes    1565.00    913       
118    No     356.00     250       
119    Yes    1761.00    925       
120    Yes    1485.00    1153      
121    Yes    1524.00    1036      
122    Yes    1474.00    1186      
123    No     452.00     802       
124    No     380.00     268       
125    Yes    1553.00    949       
126    No     428.00     394       
127    Yes    1674.00    1186      
128    No     788.00     816       
129    Yes    1601.00    805       
