episode,avg_reward,static_rewards
0,-398.0,-398.0
1,-449.0,-500.0
2,-450.3333333333333,-453.0
3,-461.75,-496.0
4,-468.0,-493.0
5,-430.3333333333333,-242.0
6,-370.2857142857143,-10.0
7,-387.375,-507.0
8,-398.3333333333333,-486.0
9,-399.1,-406.0
10,-398.6363636363636,-394.0
11,-406.4166666666667,-492.0
12,-406.84615384615387,-412.0
13,-407.5,-416.0
14,-411.3333333333333,-465.0
15,-413.6875,-449.0
16,-379.94117647058823,160.0
17,-387.77777777777777,-521.0
18,-394.6842105263158,-519.0
19,-395.75,-416.0
20,-400.42857142857144,-494.0
21,-405.0,-501.0
22,-406.6521739130435,-443.0
23,-391.7916666666667,-50.0
24,-372.52,90.0
25,-378.5,-528.0
26,-379.44444444444446,-404.0
27,-381.89285714285717,-448.0
28,-387.0344827586207,-531.0
29,-390.53333333333336,-492.0
30,-392.741935483871,-459.0
31,-393.5625,-419.0
32,-374.969696969697,220.0
33,-363.3529411764706,20.0
34,-365.8285714285714,-450.0
35,-353.44444444444446,80.0
36,-356.64864864864865,-472.0
37,-360.42105263157896,-500.0
38,-364.12820512820514,-505.0
39,-366.925,-476.0
40,-356.5121951219512,60.0
41,-357.07142857142856,-380.0
42,-358.8837209302326,-435.0
43,-360.02272727272725,-409.0
44,-350.24444444444447,80.0
45,-352.6304347826087,-460.0
46,-354.9574468085106,-462.0
47,-356.0833333333333,-409.0
48,-357.3469387755102,-418.0
49,-359.44,-462.0
50,-361.921568627451,-486.0
51,-357.2692307692308,-120.0
52,-358.66037735849056,-431.0
53,-360.75925925925924,-472.0
54,-362.8727272727273,-477.0
55,-365.7857142857143,-526.0
56,-366.7894736842105,-423.0
57,-368.8103448275862,-484.0
58,-370.23728813559325,-453.0
59,-363.06666666666666,60.0
60,-365.655737704918,-521.0
61,-366.56451612903226,-422.0
62,-368.36507936507934,-480.0
63,-370.15625,-483.0
64,-371.81538461538463,-478.0
65,-373.3939393939394,-476.0
66,-373.8955223880597,-407.0
67,-366.9264705882353,100.0
68,-361.0289855072464,40.0
69,-361.7142857142857,-409.0
70,-363.80281690140845,-510.0
71,-362.7083333333333,-285.0
72,-364.09589041095893,-464.0
73,-358.9054054054054,20.0
74,-360.3333333333333,-466.0
75,-361.7105263157895,-465.0
76,-356.23376623376623,60.0
77,-358.0897435897436,-501.0
78,-358.59493670886076,-398.0
79,-352.6125,120.0
80,-354.65432098765433,-518.0
81,-349.4756097560976,70.0
82,-345.26506024096386,0.0
83,-347.07142857142856,-497.0
84,-348.8,-494.0
85,-350.33720930232556,-481.0
86,-352.8735632183908,-571.0
87,-354.125,-463.0
88,-355.5842696629214,-484.0
89,-350.96666666666664,60.0
90,-347.0,10.0
91,-348.57608695652175,-492.0
92,-350.3763440860215,-516.0
93,-351.63829787234044,-469.0
94,-349.6421052631579,-162.0
95,-350.4791666666667,-430.0
96,-351.36082474226805,-436.0
97,-344.7142857142857,300.0
98,-345.52525252525254,-425.0
99,-341.77,30.0
100,-337.990099009901,40.0
101,-333.69607843137254,100.0
102,-334.6407766990291,-431.0
103,-335.22115384615387,-395.0
104,-336.6190476190476,-482.0
105,-337.6698113207547,-448.0
106,-339.14018691588785,-495.0
107,-335.6296296296296,40.0
108,-337.2110091743119,-508.0
109,-338.57272727272726,-487.0
110,-339.34234234234236,-424.0
111,-339.63392857142856,-372.0
112,-340.1061946902655,-393.0
113,-336.859649122807,30.0
114,-337.5739130434783,-419.0
115,-338.4310344827586,-437.0
116,-339.5982905982906,-475.0
117,-340.54237288135596,-451.0
118,-336.33613445378154,160.0
119,-337.43333333333334,-468.0
120,-334.06611570247935,70.0
121,-335.0983606557377,-460.0
122,-336.5691056910569,-516.0
123,-333.3709677419355,60.0
124,-334.728,-503.0
125,-335.26190476190476,-402.0
126,-336.4409448818898,-485.0
127,-337.3671875,-455.0
128,-334.4418604651163,40.0
129,-335.5692307692308,-481.0
130,-336.41984732824426,-447.0
131,-336.719696969697,-376.0
132,-337.5563909774436,-448.0
133,-334.6641791044776,50.0
134,-330.7037037037037,200.0
135,-331.29411764705884,-411.0
136,-332.021897810219,-431.0
137,-332.4927536231884,-397.0
138,-333.6115107913669,-488.0
139,-334.50714285714287,-459.0
140,-332.13475177304963,0.0
141,-333.0845070422535,-467.0
142,-333.73426573426576,-426.0
143,-334.28472222222223,-413.0
144,-335.1448275862069,-459.0
145,-335.2260273972603,-347.0
146,-335.76190476190476,-414.0
147,-336.4256756756757,-434.0
148,-333.56375838926175,90.0
149,-334.4533333333333,-467.0
150,-334.9801324503311,-414.0
151,-335.8486842105263,-467.0
152,-336.3267973856209,-409.0
153,-336.96753246753246,-435.0
154,-338.2064516129032,-529.0
155,-339.2564102564103,-502.0
156,-336.71337579617835,60.0
157,-337.4810126582278,-458.0
158,-338.0062893081761,-421.0
159,-338.34375,-392.0
160,-338.8198757763975,-415.0
161,-339.98148148148147,-527.0
162,-340.5828220858896,-438.0
163,-341.4451219512195,-482.0
164,-341.77575757575755,-396.0
165,-342.2590361445783,-422.0
166,-342.6646706586826,-410.0
167,-343.17261904761904,-428.0
168,-344.094674556213,-499.0
169,-344.84705882352944,-472.0
170,-345.3391812865497,-429.0
171,-345.8779069767442,-438.0
172,-346.6936416184971,-487.0
173,-347.08620689655174,-415.0
174,-344.2457142857143,150.0
175,-342.0056818181818,50.0
176,-342.5141242937853,-432.0
177,-343.1741573033708,-460.0
178,-339.41340782122904,330.0
179,-339.31666666666666,-322.0
180,-340.28729281767954,-515.0
181,-340.84615384615387,-442.0
182,-341.0655737704918,-381.0
183,-338.9402173913044,50.0
184,-339.6378378378378,-468.0
185,-340.48387096774195,-497.0
186,-340.86096256684493,-411.0
187,-341.45212765957444,-452.0
188,-342.1746031746032,-478.0
189,-342.3315789473684,-372.0
190,-342.848167539267,-441.0
191,-343.40625,-450.0
192,-344.07253886010363,-472.0
193,-341.78350515463916,100.0
194,-341.94871794871796,-374.0
195,-342.25,-401.0
196,-342.4467005076142,-381.0
197,-342.8181818181818,-416.0
198,-343.4070351758794,-460.0
