======================================================================
QLEARNING Agent Evaluation Results
======================================================================
Generated: 2025-12-08 14:15:22
======================================================================

SUMMARY STATISTICS
----------------------------------------------------------------------
Agent Type: qlearning
Games Played: 2000
Wins: 9
Win Rate: 0.45%
Evaluation Runtime: 253.43 seconds (4.22 minutes)

HYPERPARAMETERS / CONFIGURATION
----------------------------------------------------------------------
gamma: 0.9
epsilon: 1.0
decay_rate: 0.99995
min_epsilon: 0.05
window_size: 2
layout: mediumClassic
num_ghosts: 2
ghost_type: RandomGhost
max_steps: 1000
random_rewards: False

SCORE STATISTICS
----------------------------------------------------------------------
Average Score: -120.84
Std Dev Score: 755.52
Min Score: -918.00
Max Score: 11207.00
Median Score: -187.00

EPISODE LENGTH STATISTICS
----------------------------------------------------------------------
Average Length: 662.91 moves
Min Length: 64 moves
Max Length: 2998 moves
Median Length: 505 moves

Q-LEARNING EVALUATION STATISTICS
----------------------------------------------------------------------
Total Actions: 221836
Q-table Actions: 218464
Random Actions: 3372
Q-table Action Percentage: 98.48%
Random Action Percentage: 1.52%
New States Encountered: 3372

INDIVIDUAL GAME RESULTS
----------------------------------------------------------------------
Game   Win    Score      Length    
----------------------------------------------------------------------
1      No     112.00     1162      
2      No     -771.00    2583      
3      No     -151.00    541       
4      No     63.00      679       
5      No     -136.00    406       
6      No     -260.00    178       
7      No     -350.00    2998      
8      No     -381.00    752       
9      No     -260.00    208       
10     No     -70.00     479       
11     No     -365.00    133       
12     No     -336.00    1276      
13     No     -120.00    750       
14     No     -234.00    640       
15     No     -43.00     1207      
16     No     -192.00    244       
17     No     -215.00    945       
18     No     80.00      628       
19     No     33.00      1641      
20     No     -158.00    1552      
21     No     -294.00    582       
22     No     -148.00    382       
23     No     -156.00    408       
24     No     88.00      1566      
25     No     -128.00    292       
26     No     -300.00    148       
27     No     -367.00    1129      
28     No     -334.00    1092      
29     No     -184.00    460       
30     No     -123.00    727       
31     No     -214.00    550       
32     No     -148.00    322       
33     No     -260.00    900       
34     No     81.00      866       
35     No     -364.00    100       
36     No     -169.00    1346      
37     No     -238.00    322       
38     No     -242.00    214       
39     No     -348.00    1132      
40     No     -298.00    1014      
41     No     304.00     946       
42     No     -344.00    130       
43     No     -196.00    226       
44     No     -140.00    328       
45     No     -50.00     448       
46     No     -152.00    1174      
47     No     -288.00    172       
48     No     -56.00     376       
49     No     -217.00    469       
50     No     -406.00    76        
51     No     -370.00    118       
52     No     -219.00    387       
53     Yes    10742.00   1282      
54     No     130.00     1108      
55     No     -620.00    1768      
56     No     -131.00    842       
57     No     -274.00    882       
58     No     172.00     744       
59     No     -453.00    667       
60     No     -138.00    714       
61     No     -138.00    322       
62     No     324.00     886       
63     No     209.00     1261      
64     No     -324.00    130       
65     No     -174.00    430       
66     No     -286.00    196       
67     No     -171.00    1442      
68     No     -46.00     437       
69     No     -364.00    1000      
70     No     -212.00    544       
71     No     -332.00    124       
72     No     -216.00    316       
73     No     -518.00    1253      
74     No     -146.00    346       
75     No     -296.00    166       
76     No     -75.00     553       
77     No     -162.00    424       
78     No     -140.00    328       
79     No     -5.00      1273      
80     No     -198.00    2512      
