episode,reward,avg_reward
0,-471.0,-471.0
1,-458.0,-464.5
2,-434.0,-454.3333333333333
3,-532.0,-473.75
4,-464.0,-471.8
5,-445.0,-467.3333333333333
6,-459.0,-466.14285714285717
7,-489.0,-469.0
8,-437.0,-465.44444444444446
9,-443.0,-463.2
10,40.0,-417.45454545454544
11,-479.0,-422.5833333333333
12,-402.0,-421.0
13,-546.0,-429.92857142857144
14,-554.0,-438.2
15,-481.0,-440.875
16,-464.0,-442.2352941176471
17,-434.0,-441.77777777777777
18,-450.0,-442.2105263157895
19,-464.0,-443.3
20,-487.0,-445.3809523809524
21,-473.0,-446.6363636363636
22,-472.0,-447.7391304347826
23,80.0,-425.75
24,-448.0,-426.64
25,-499.0,-429.4230769230769
26,-447.0,-430.0740740740741
27,-458.0,-431.07142857142856
28,-490.0,-433.1034482758621
29,-491.0,-435.03333333333336
30,-456.0,-435.7096774193548
31,-490.0,-437.40625
32,-482.0,-438.75757575757575
33,-515.0,-441.0
34,-466.0,-441.7142857142857
35,-457.0,-442.1388888888889
36,-359.0,-439.8918918918919
37,-481.0,-440.9736842105263
38,-499.0,-442.46153846153845
39,-414.0,-441.75
40,-505.0,-443.2926829268293
41,-484.0,-444.26190476190476
42,-503.0,-445.6279069767442
43,-532.0,-447.59090909090907
44,-465.0,-447.97777777777776
45,-474.0,-448.54347826086956
46,80.0,-437.29787234042556
47,-330.0,-435.0625
48,-130.0,-428.83673469387753
49,-441.0,-429.08
50,130.0,-418.11764705882354
51,-444.0,-418.61538461538464
52,-430.0,-418.8301886792453
53,-513.0,-420.5740740740741
54,-484.0,-421.72727272727275
55,-460.0,-422.4107142857143
56,-234.0,-419.10526315789474
57,30.0,-411.36206896551727
58,0.0,-404.3898305084746
59,-455.0,-405.23333333333335
60,-461.0,-406.1475409836066
61,-458.0,-406.98387096774195
62,-433.0,-407.3968253968254
63,-468.0,-408.34375
64,-470.0,-409.2923076923077
65,-448.0,-409.8787878787879
66,-480.0,-410.92537313432837
67,-489.0,-412.0735294117647
68,-445.0,-412.5507246376812
69,-432.0,-412.8285714285714
70,-527.0,-414.4366197183099
71,40.0,-408.125
72,-519.0,-409.64383561643837
73,-430.0,-409.9189189189189
74,-406.0,-409.8666666666667
75,-467.0,-410.61842105263156
76,-546.0,-412.3766233766234
77,-446.0,-412.8076923076923
78,-501.0,-413.9240506329114
79,-472.0,-414.65
80,-523.0,-415.98765432098764
81,-442.0,-416.3048780487805
82,-471.0,-416.96385542168673
83,-522.0,-418.2142857142857
84,-494.0,-419.1058823529412
85,-522.0,-420.30232558139534
86,-385.0,-419.8965517241379
87,-378.0,-419.42045454545456
88,-452.0,-419.7865168539326
89,-504.0,-420.72222222222223
90,-493.0,-421.5164835164835
91,-452.0,-421.8478260869565
92,-577.0,-423.51612903225805
93,-10.0,-419.1170212765957
94,-408.0,-419.0
95,-462.0,-419.4479166666667
96,-469.0,-419.9587628865979
97,-520.0,-420.9795918367347
98,-527.0,-422.050505050505
99,-439.0,-422.22
100,-487.0,-422.86138613861385
101,-450.0,-423.12745098039215
102,-473.0,-423.6116504854369
103,-471.0,-424.0673076923077
104,-395.0,-423.79047619047617
105,-486.0,-424.37735849056605
106,20.0,-420.22429906542055
107,-480.0,-420.77777777777777
108,-609.0,-422.5045871559633
109,-502.0,-423.22727272727275
110,-412.0,-423.1261261261261
111,-421.0,-423.10714285714283
112,-443.0,-423.283185840708
113,-511.0,-424.05263157894734
114,-543.0,-425.0869565217391
115,-408.0,-424.9396551724138
116,30.0,-421.05128205128204
117,-506.0,-421.771186440678
118,-465.0,-422.1344537815126
119,-364.0,-421.65
120,-506.0,-422.3471074380165
